lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60+,WorkPop
E01003605,Newham 028C,Newham 028C,106591.971888000014587,2064.016341743905286,"8278","3",Newham 028C,E09000025,Newham,29.460999999999999,"8278","3",0.169000000000000,"8848","3",0.104000000000000,"11850","4",22.402000000000001,"12296","4",-0.330000000000000,"21128","7",0.182000000000000,"13814","5",48.542999999999999,"508","1",38.207999999999998,"4918","2",0.179000000000000,"11567","4",0.357000000000000,"2855","1",-0.253000000000000,"20257","7",0.394000000000000,"7201","3",-1.731000000000000,"32517","10",6.745000000000000,"64","1",0.362000000000000,"11036","4",1.541000000000000,"1490","1","2371","557","1547","267",1542.000000000000000
E01003492,Newham 025A,Newham 025A,97056.264607999997679,1893.145344041033013,"10800","4",Newham 025A,E09000025,Newham,24.940999999999999,"10800","4",0.114000000000000,"14389","5",0.059000000000000,"21656","7",21.225999999999999,"13008","4",-0.144000000000000,"18298","6",0.336000000000000,"11389","4",46.709000000000003,"770","1",43.686000000000000,"3247","1",0.113000000000000,"17803","6",0.284000000000000,"5332","2",-0.044000000000000,"16796","6",0.362000000000000,"9720","3",-1.218000000000000,"31116","10",6.376000000000000,"175","1",0.715000000000000,"6621","3",1.385000000000000,"2055","1","2199","571","1393","235",1366.250000000000000
E01003568,Newham 017A,Newham 017A,108346.096608000007109,1533.355679585518374,"11361","4",Newham 017A,E09000025,Newham,24.045000000000002,"11361","4",0.139000000000000,"11601","4",0.081000000000000,"16157","5",12.708000000000000,"19307","6",-0.060000000000000,"16944","6",0.079000000000000,"15430","5",47.572000000000003,"619","1",28.559000000000001,"9637","3",0.118000000000000,"17275","6",0.393000000000000,"2023","1",-0.777000000000000,"27377","9",0.330000000000000,"12758","4",-1.026000000000000,"29994","10",6.439000000000000,"152","1",0.095000000000000,"14971","5",1.131000000000000,"3316","2","2367","487","1593","287",1549.250000000000000
E01003599,Newham 022C,Newham 022C,134056.415532499988331,1957.458925938582070,"7477","3",Newham 022C,E09000025,Newham,31.152000000000001,"7477","3",0.201000000000000,"6616","3",0.102000000000000,"12226","4",21.489999999999998,"12858","4",-0.180000000000000,"18841","6",0.545000000000000,"8474","3",50.707999999999998,"242","1",27.225999999999999,"10402","4",0.217000000000000,"8958","3",0.484000000000000,"771","1",-0.173000000000000,"18962","6",0.378000000000000,"8382","3",-0.761000000000000,"27543","9",6.795000000000000,"52","1",0.018000000000000,"16175","5",1.115000000000000,"3404","2","1661","391","1077","193",1041.000000000000000
E01003606,Newham 022D,Newham 022D,164721.030215500009945,2898.653422496934581,"8735","3",Newham 022D,E09000025,Newham,28.550999999999998,"8735","3",0.146000000000000,"10877","4",0.084000000000000,"15465","5",20.552000000000000,"13428","5",-0.370000000000000,"21721","7",0.948000000000000,"3952","2",47.670000000000002,"606","1",34.723999999999997,"6362","2",0.158000000000000,"13307","5",0.282000000000000,"5379","2",-0.243000000000000,"20105","7",0.375000000000000,"8599","3",-1.363000000000000,"31725","10",6.546000000000000,"116","1",0.000000000000000,"16460","6",1.722000000000000,"964","1","2421","568","1578","275",1583.250000000000000
E01003564,Newham 014B,Newham 014B,109906.707712000003085,1770.281944569308052,"9354","3",Newham 014B,E09000025,Newham,27.393000000000001,"9354","3",0.162000000000000,"9503","3",0.092000000000000,"13914","5",14.044000000000000,"18130","6",-0.187000000000000,"18954","6",0.348000000000000,"11193","4",50.606000000000002,"255","1",29.949999999999999,"8842","3",0.165000000000000,"12681","4",0.404000000000000,"1794","1",-0.629000000000000,"25638","8",0.336000000000000,"12095","4",-1.088000000000000,"30419","10",7.045000000000000,"11","1",0.005000000000000,"16385","5",1.357000000000000,"2191","1","2435","547","1671","217",1634.250000000000000
E01003573,Newham 017C,Newham 017C,98521.515052000002470,1849.566457109318662,"9549","3",Newham 017C,E09000025,Newham,27.068999999999999,"9549","3",0.147000000000000,"10781","4",0.082000000000000,"15870","5",20.109999999999999,"13705","5",0.207000000000000,"12969","4",-0.012000000000000,"16873","6",49.999000000000002,"323","1",30.123000000000001,"8733","3",0.123000000000000,"16726","6",0.424000000000000,"1452","1",-0.530000000000000,"24334","8",0.392000000000000,"7350","3",-0.653000000000000,"26273","8",6.580000000000000,"107","1",0.061000000000000,"15512","5",1.303000000000000,"2421","1","2234","514","1488","232",1445.000000000000000
E01003574,Newham 017D,Newham 017D,190754.886840499995742,2547.005553339831749,"8339","3",Newham 017D,E09000025,Newham,29.332000000000001,"8339","3",0.184000000000000,"7772","3",0.093000000000000,"13821","5",17.462000000000000,"15496","5",-0.088000000000000,"17373","6",0.142000000000000,"14444","5",50.279000000000003,"288","1",35.710000000000001,"5939","2",0.179000000000000,"11577","4",0.425000000000000,"1430","1",-0.454000000000000,"23253","8",0.361000000000000,"9812","3",-0.725000000000000,"27118","9",6.687000000000000,"78","1",0.499000000000000,"9209","3",1.128000000000000,"3333","2","2620","574","1676","370",1667.250000000000000
E01003494,Newham 025C,Newham 025C,104678.111544500017771,1960.805251310480799,"13284","5",Newham 025C,E09000025,Newham,21.332999999999998,"13284","5",0.113000000000000,"14602","5",0.056000000000000,"22694","7",19.303000000000001,"14190","5",-0.751000000000000,"26481","9",0.105000000000000,"15051","5",43.189000000000000,"1390","1",40.542000000000002,"4088","2",0.142000000000000,"14767","5",0.217000000000000,"8820","3",0.007000000000000,"15977","5",0.336000000000000,"12167","4",-1.131000000000000,"30678","10",5.825000000000000,"403","1",0.605000000000000,"7877","3",1.338000000000000,"2268","1","2390","671","1498","221",1462.250000000000000
E01003603,Newham 028B,Newham 028B,202124.130314500012901,2678.528367066037845,"12180","4",Newham 028B,E09000025,Newham,22.803999999999998,"12180","4",0.136000000000000,"11884","4",0.064000000000000,"20361","7",15.648000000000000,"16862","6",-0.312000000000000,"20823","7",0.048000000000000,"15918","5",45.854999999999997,"911","1",34.814999999999998,"6325","2",0.178000000000000,"11668","4",0.242000000000000,"7359","3",-0.446000000000000,"23140","8",0.341000000000000,"11619","4",-1.397000000000000,"31841","10",6.275000000000000,"207","1",0.561000000000000,"8416","3",0.940000000000000,"4591","2","1995","511","1263","221",1263.000000000000000
