FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,LSOA21CD_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,GlobalID_2,NormIMD,Tran_Dis,Tran_Dist,IMD_FID,IMD_LSOA21,IMD_LSOA_1,IMD_BNG_E,IMD_BNG_N,IMD_LAT,IMD_LONG,IMD_5min_C,IMD_HubDis,IMD_Distan,IMD_NormDi,IMD_Access,IMD_No Car,IMD_IMD Sc,IMD_NormIM,IMD_Income,IMD_Inco_1,IMD_Inco_2,IMD_Employ,IMD_Empl_1,IMD_Educat,IMD_Health,IMD_Barrie,IMD_Living,IMD_5min_1
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,12162e5c-a629-4d93-b5d6-efc8676357e3,E01003632,UN1,Urban: Nearer to a major town or city,Urban,1965.293203,136922.8911,1965.293203,6fa3e84d-716e-4372-94fd-8abae88efc7b,0.31,0,0,3461,Newham 020B,,539688,183337,51.5317,0.01249,42,218.4453401,0.33,0.67,21.335,53,21,0.311053985,0.1,5,2728,0.1,6,14.5,-0.5,45.7,28.4,42
3344,E01003506,Newham 034D,,540406,181014,51.5106,0.02191,8fc1e332-1080-4f6f-b942-5f5bc1836947,E01003506,UN1,Urban: Nearer to a major town or city,Urban,1700.262,106292.6411,1700.262,b403df80-f628-48b3-ad41-0f97018b902b,0.94,0,0,3344,Newham 034D,,540406,181014,51.5106,0.02191,88,89.93145086,0.12,0.88,44.44,63.1,45.3,0.935732648,0.3,1,2931,0.2,2,23.2,0.9,51.4,23.6,88
3352,E01003515,Newham 036D,,541249,180905,51.5094,0.034006,2a2886cf-d7bd-4295-a82f-363e25684f57,E01003515,UN1,Urban: Nearer to a major town or city,Urban,6195.620921,745939.0429,6195.620922,b8a76c10-4e5c-4885-b8b2-ecc588ac6bc5,1,0,0,3352,Newham 036D,,541249,180905,51.5094,0.034006,44,122.2917246,0.17,0.83,22.415,48.1,47.7,0.997429306,0.3,1,5783,0.2,2,25.3,0.8,49.9,24,44
3354,E01003517,Newham 036E,,540702,181629,51.5161,0.026417,800a3b8b-e30b-438e-9937-bedf56188a03,E01003517,UN1,Urban: Nearer to a major town or city,Urban,3713.241066,274535.2849,3713.241066,1057ff75-47e9-402e-9e1b-c3deb4d98809,0.97,0,0,3354,Newham 036E,,540702,181629,51.5161,0.026417,71,40.73558642,0.04,0.96,35.98,48.1,46.7,0.971722365,0.3,1,9696,0.2,2,20.3,1.2,47.3,26.2,71
31673,E01033584,Newham 034I,,540063,181147,51.5119,0.017023,d3b6adff-bf75-4c06-a426-f91feb713a69,E01033584,UN1,Urban: Nearer to a major town or city,Urban,2558.205232,150662.1074,2558.205232,0108a325-fd89-4690-84ad-249593195d6c,0.84,0,0,31673,Newham 034I,,540063,181147,51.5119,0.017023,73,40.57802655,0.04,0.96,36.98,63.1,41.6,0.840616967,0.3,1,7569,0.1,3,22.8,0.6,52.1,22.8,73
32249,E01034210,Newham 034L,,539891,180958,51.5102,0.014471,56aac99c-d690-4b70-8010-d5052a730881,E01034210,UN1,Urban: Nearer to a major town or city,Urban,2083.349439,97068.44306,2083.349439,48b4db04-c7d0-4a7a-9749-e511b885c493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32251,E01034212,Newham 034N,,540285,180688,51.5077,0.020037,fdbff5a5-8d0a-4cf8-afb5-981f5659f9cb,E01034212,UN1,Urban: Nearer to a major town or city,Urban,2603.173774,288258.5281,2603.173774,861af7ed-d273-4b57-882e-0bb26ba857a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341,E01003501,Newham 030B,,539873,182282,51.5221,0.014737,566adb54-0e67-47f9-baa8-9d25805cb98d,E01003501,UN1,Urban: Nearer to a major town or city,Urban,2752.782172,158394.8661,2752.782172,cd1b44ef-d677-41fc-a196-ffa9e41e9fde,0.7,0,0,3341,Newham 030B,,539873,182282,51.5221,0.014737,48,256.1143485,0.39,0.61,24.305,58.7,36.3,0.70437018,0.2,2,6628,0.1,3,24,0.1,50.1,24.1,48
3345,E01003507,Newham 031A,,540551,182118,51.5205,0.024438,c0ffff66-48f9-4806-b4d3-cad532124a34,E01003507,UN1,Urban: Nearer to a major town or city,Urban,2430.314866,142061.2399,2430.314866,015e40e2-88c7-4885-b243-ad6c150db3f0,0.65,0,0,3345,Newham 031A,,540551,182118,51.5205,0.024438,86,86.19015036,0.11,0.89,43.445,53.3,34,0.645244216,0.2,3,6791,0.1,4,21.7,0.4,47.5,50.2,86
3346,E01003508,Newham 031B,,540242,181711,51.5169,0.019825,0440a7a3-24af-4633-9e81-845f3e8c630b,E01003508,UN1,Urban: Nearer to a major town or city,Urban,2768.653138,130822.9872,2768.653138,943e4622-c6d8-4000-856d-53d177418b1e,0.72,0,0,3346,Newham 031B,,540242,181711,51.5169,0.019825,45,243.4071447,0.37,0.63,22.815,53.3,36.9,0.719794344,0.2,3,4038,0.1,4,24.9,0.4,49.2,38.2,45
3347,E01003509,Newham 031C,,540404,181943,51.519,0.022251,4ac9e4d6-982b-4c2f-95f0-ecf9fd74a1a1,E01003509,UN1,Urban: Nearer to a major town or city,Urban,1528.849843,104258.6346,1528.849843,9302ed5b-3687-43e1-8f1c-91ce6021e029,0.68,0,0,3347,Newham 031C,,540404,181943,51.519,0.022251,62,115.6030766,0.16,0.84,31.42,53.3,35.4,0.681233933,0.2,3,13950,0.1,3,22,0.3,43.2,50.9,62
3348,E01003511,Newham 036A,,540263,181466,51.5147,0.02003,6e460906-cb2e-4cae-9ba7-d09c38909208,E01003511,UN1,Urban: Nearer to a major town or city,Urban,1761.598314,91744.28558,1761.598314,e6c80b88-420b-4b92-84cd-58fb893d0c22,0.68,0,1,3348,Newham 036A,,540263,181466,51.5147,0.02003,4.3,346.7413771,0.54,0.46,2.38,48.1,35.3,0.678663239,0.2,3,9400,0.1,4,26.7,0.6,49.8,21.4,4.3
32247,E01034208,Newham 034J,,539829,181423,51.5144,0.013763,1f016b59-25bf-4708-99e2-b1fe8e3a88bd,E01034208,UN1,Urban: Nearer to a major town or city,Urban,2245.030162,149959.8945,2245.030162,b4f29b5f-10bd-495e-8c16-1c49de935ce8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,E01003512,Newham 036B,,541060,181376,51.5137,0.031472,947436bc-c85d-4e5a-942d-a14a88d0cbf2,E01003512,UN1,Urban: Nearer to a major town or city,Urban,3407.782888,129007.5339,3407.782888,1f5a6148-82c7-467a-b130-cd2227b7fa21,0.68,0,0,3349,Newham 036B,,541060,181376,51.5137,0.031472,65,85.13922018,0.11,0.89,32.945,48.1,35.3,0.678663239,0.2,3,10740,0.1,3,24.9,0.3,48.5,26.3,65
3351,E01003514,Newham 036C,,541514,181242,51.5124,0.037957,a81fa2be-74da-45a2-8997-0af1380996a2,E01003514,UN1,Urban: Nearer to a major town or city,Urban,2865.861702,177852.4584,2865.861702,2dbe992e-6a1e-418c-be95-0720d568dfbe,0.71,0,1,3351,Newham 036C,,541514,181242,51.5124,0.037957,7,319.5701011,0.5,0.5,3.75,48.1,36.7,0.714652956,0.2,3,16257,0.2,2,24.1,0.6,55.1,21.4,7
3353,E01003516,Newham 032C,,541339,181704,51.5166,0.035622,a4ecf1b3-4c8d-41c4-be68-6d50f770cb23,E01003516,UN1,Urban: Nearer to a major town or city,Urban,2508.148677,134899.7574,2508.148677,d26f0b5e-691a-4718-9220-ed43d88e2912,0.8,0,0,3353,Newham 032C,,541339,181704,51.5166,0.035622,89,50.3671816,0.06,0.94,44.97,39.6,39.9,0.796915167,0.3,2,7793,0.2,2,27.1,0.5,51.7,28.6,89
3355,E01003518,Newham 032D,,541604,181531,51.515,0.039369,bcfb09e6-45ca-47b1-abb3-ca322e3daca0,E01003518,UN1,Urban: Nearer to a major town or city,Urban,2768.300413,180621.0984,2768.300413,2132c12b-7000-4dd6-8f4d-e4a9389fc262,0.35,0,0,3355,Newham 032D,,541604,181531,51.515,0.039369,59,98.50879463,0.13,0.87,29.935,39.6,22.6,0.35218509,0.1,5,10805,0.1,6,14.2,-0.3,55.6,21.3,59
3356,E01003519,Newham 032E,,541249,181495,51.5147,0.034242,eeba4e91-2fc3-45f2-8b8d-721cb697e918,E01003519,UN1,Urban: Nearer to a major town or city,Urban,1333.974876,62241.23432,1333.974876,4a5f40f8-dc33-4e38-b6f5-02d638b50b55,0.53,0,0,3356,Newham 032E,,541249,181495,51.5147,0.034242,48,191.4743529,0.29,0.71,24.355,39.6,29.4,0.526992288,0.2,3,10617,0.1,5,24.3,0.1,52.4,24.4,48
