LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003545,Newham 006A,E09000025,Newham,"9,504",3,"10,612",4,"13,575",5,"17,860",6,"14,085",5,"9,300",3,411,1,"12,440",4
E01003546,Newham 001C,E09000025,Newham,"6,455",2,"6,527",2,"10,574",4,"15,321",5,"11,543",4,"4,637",2,357,1,"11,626",4
E01003547,Newham 007A,E09000025,Newham,"15,291",5,"16,025",5,"15,819",5,"22,624",7,"23,776",8,"17,192",6,"1,870",1,"10,510",4
E01003548,Newham 006B,E09000025,Newham,"12,546",4,"13,715",5,"20,978",7,"16,701",6,"23,400",8,"11,219",4,526,1,"9,260",3
E01003549,Newham 006C,E09000025,Newham,"10,418",4,"10,923",4,"14,114",5,"17,965",6,"17,224",6,"11,768",4,535,1,"11,300",4
E01003550,Newham 001D,E09000025,Newham,"9,615",3,"8,876",3,"15,415",5,"17,071",6,"20,532",7,"18,054",6,228,1,"6,223",2
E01003551,Newham 009A,E09000025,Newham,"5,894",2,"8,576",3,"9,979",4,"20,965",7,"5,214",2,"6,637",3,126,1,"6,832",3
E01003552,Newham 016A,E09000025,Newham,"8,113",3,"8,444",3,"10,770",4,"16,340",5,"18,130",6,"11,917",4,585,1,"5,187",2
E01003553,Newham 009B,E09000025,Newham,"5,596",2,"4,955",2,"8,366",3,"19,584",6,"9,121",3,"5,713",2,776,1,"6,483",2
E01003554,Newham 009C,E09000025,Newham,"12,839",4,"15,162",5,"20,432",7,"21,142",7,"17,304",6,"8,696",3,"1,063",1,"8,329",3
E01003555,Newham 007B,E09000025,Newham,"10,282",4,"12,531",4,"17,180",6,"19,884",7,"17,756",6,"4,682",2,"1,111",1,"5,505",2
E01003556,Newham 008A,E09000025,Newham,"3,646",2,"3,809",2,"8,783",3,"12,813",4,"12,659",4,930,1,382,1,"3,748",2
E01003557,Newham 006D,E09000025,Newham,"5,271",2,"6,454",2,"9,217",3,"20,550",7,"11,448",4,"2,792",1,198,1,"4,428",2
E01003558,Newham 008B,E09000025,Newham,"4,804",2,"5,724",2,"10,470",4,"11,330",4,"12,675",4,"1,815",1,276,1,"5,722",2
E01003559,Newham 009D,E09000025,Newham,"13,767",5,"15,700",5,"21,953",7,"23,328",8,"17,711",6,"11,942",4,734,1,"9,006",3
E01003560,Newham 011B,E09000025,Newham,"9,022",3,"8,277",3,"12,167",4,"13,118",4,"21,836",7,"17,916",6,359,1,"8,804",3
E01003561,Newham 007C,E09000025,Newham,"11,544",4,"11,323",4,"18,944",6,"15,404",5,"23,929",8,"13,034",4,420,1,"9,901",4
E01003562,Newham 014A,E09000025,Newham,"10,266",4,"11,076",4,"18,136",6,"14,439",5,"23,882",8,"14,172",5,147,1,"6,200",2
E01003563,Newham 011C,E09000025,Newham,"9,532",3,"9,162",3,"15,834",5,"10,530",4,"23,899",8,"16,712",6,314,1,"7,786",3
E01003564,Newham 014B,E09000025,Newham,"9,354",3,"9,503",3,"13,914",5,"18,130",6,"18,954",6,"11,193",4,255,1,"8,842",3
E01003565,Newham 014C,E09000025,Newham,"10,503",4,"9,768",3,"20,488",7,"18,040",6,"14,175",5,"13,336",5,344,1,"9,575",3
E01003566,Newham 014D,E09000025,Newham,"7,833",3,"9,823",3,"13,612",5,"14,259",5,"17,457",6,"4,929",2,333,1,"6,336",2
E01003567,Newham 007D,E09000025,Newham,"7,033",3,"6,105",2,"11,564",4,"12,315",4,"15,387",5,"11,780",4,373,1,"7,649",3
E01003568,Newham 017A,E09000025,Newham,"11,361",4,"11,601",4,"16,157",5,"19,307",6,"16,944",6,"15,430",5,619,1,"9,637",3
E01003569,Newham 017B,E09000025,Newham,"9,189",3,"9,472",3,"17,127",6,"17,353",6,"20,902",7,"4,922",2,290,1,"8,997",3
E01003570,Newham 008C,E09000025,Newham,"7,384",3,"9,322",3,"16,287",5,"12,170",4,"14,845",5,"4,446",2,237,1,"6,001",2
E01003571,Newham 008D,E09000025,Newham,"9,039",3,"8,288",3,"14,477",5,"15,985",5,"16,355",5,"13,589",5,170,1,"11,826",4
E01003572,Newham 008E,E09000025,Newham,"9,158",3,"7,849",3,"12,312",4,"13,788",5,"17,185",6,"15,501",5,650,1,"12,094",4
E01003573,Newham 017C,E09000025,Newham,"9,549",3,"10,781",4,"15,870",5,"13,705",5,"12,969",4,"16,873",6,323,1,"8,733",3
