LSOA code (2011),LSOA name (2011),Local Authority District name (2019),No Car or vans in household(%)
E01003587,Newham 004C,Newham,49.5
E01003588,Newham 011D,Newham,40.9
E01003589,Newham 011E,Newham,40.9
E01003551,Newham 009A,Newham,58.9
E01003552,Newham 016A,Newham,47.7
E01003553,Newham 009B,Newham,58.9
E01003554,Newham 009C,Newham,58.9
E01003557,Newham 006D,Newham,53.7
E01003558,Newham 008B,Newham,51.2
E01003549,Newham 006C,Newham,53.7
E01003559,Newham 009D,Newham,58.9
E01003618,Newham 012C,Newham,67
E01003635,Newham 016D,Newham,47.7
E01003636,Newham 020E,Newham,53
E01003560,Newham 011B,Newham,40.9
E01003561,Newham 007C,Newham,41.1
E01003562,Newham 014A,Newham,41.1
E01003563,Newham 011C,Newham,40.9
E01003586,Newham 003C,Newham,45.7
E01003533,Newham 011A,Newham,40.9
E01003564,Newham 014B,Newham,48.3
E01003565,Newham 014C,Newham,48.3
E01003555,Newham 007B,Newham,41.1
E01003556,Newham 008A,Newham,51.2
E01003567,Newham 007D,Newham,41.1
E01003570,Newham 008C,Newham,51.2
E01003571,Newham 008D,Newham,51.2
E01003574,Newham 017D,Newham,47.2
E01003592,Newham 022B,Newham,52.7
E01003596,Newham 016B,Newham,47.7
E01003597,Newham 016C,Newham,47.7
E01003573,Newham 017C,Newham,47.2
E01003572,Newham 008E,Newham,51.2
E01003576,Newham 002A,Newham,47.3
E01003578,Newham 003A,Newham,45.7
E01003581,Newham 002B,Newham,47.3
E01003582,Newham 002C,Newham,47.3
E01003583,Newham 002D,Newham,47.3
E01003577,Newham 005C,Newham,44.9
E01003580,Newham 005D,Newham,44.9
E01003591,Newham 004D,Newham,49.5
E01003594,Newham 026A,Newham,51.4
E01003595,Newham 026B,Newham,51.4
E01003600,Newham 021B,Newham,52.7
E01003630,Newham 021C,Newham,52.7
E01003598,Newham 021A,Newham,52.7
E01003637,Newham 021D,Newham,52.7
E01003601,Newham 028A,Newham,47.1
E01003602,Newham 026C,Newham,51.4
E01003607,Newham 026D,Newham,51.4
E01034202,Newham 022F,Newham,52.7
E01003603,Newham 028B,Newham,47.1
E01003608,Newham 028D,Newham,47.1
E01003621,Newham 023C,Newham,42.4
E01003622,Newham 023D,Newham,42.4
E01003623,Newham 023E,Newham,42.4
E01003628,Newham 015D,Newham,42.3
E01003629,Newham 015E,Newham,42.3
E01003633,Newham 020C,Newham,53
E01003634,Newham 020D,Newham,53
E01003619,Newham 012D,Newham,67
E01033586,Newham 040D,Newham,70.8
E01034199,Newham 012E,Newham,67
E01034200,Newham 012F,Newham,67
E01034219,Newham 039C,Newham,66.2
E01034220,Newham 039D,Newham,66.2
E01034213,Newham 038A,Newham,68.3
E01034214,Newham 038B,Newham,68.3
E01034215,Newham 038C,Newham,68.3
E01034217,Newham 038E,Newham,68.3
E01034218,Newham 039B,Newham,66.2
E01034216,Newham 038D,Newham,68.3
E01033579,Newham 040C,Newham,70.8
E01034221,Newham 039E,Newham,66.2
E01034222,Newham 040A,Newham,70.8
E01034223,Newham 040B,Newham,70.8
E01034224,Newham 041D,Newham,48.8
E01034225,Newham 042B,Newham,60.1
E01034226,Newham 042C,Newham,60.1
E01034228,Newham 042E,Newham,60.1
E01034231,Newham 042H,Newham,60.1
E01033580,Newham 042A,Newham,60.1
E01034227,Newham 042D,Newham,60.1
E01034229,Newham 042F,Newham,60.1
E01034230,Newham 042G,Newham,60.1
E01003483,Newham 032A,Newham,39.6
E01003484,Newham 032B,Newham,39.6
E01003485,Newham 035C,Newham,39.9
E01003486,Newham 033C,Newham,45.9
E01003540,Newham 029C,Newham,40.6
E01003541,Newham 029D,Newham,40.6
E01034205,Newham 033E,Newham,45.9
E01003543,Newham 001A,Newham,47.7
E01003547,Newham 007A,Newham,41.1
E01003584,Newham 003B,Newham,45.7
E01003544,Newham 001B,Newham,47.7
E01003546,Newham 001C,Newham,47.7
E01003499,Newham 030A,Newham,58.7
E01003611,Newham 041C,Newham,48.8
E01033581,Newham 041A,Newham,48.8
E01033582,Newham 041B,Newham,48.8
E01003548,Newham 006B,Newham,53.7
E01003615,Newham 039A,Newham,66.2
E01003616,Newham 012A,Newham,67
E01034211,Newham 034M,Newham,63.1
E01003480,Newham 033A,Newham,39.9
E01003481,Newham 035B,Newham,39.9
E01003487,Newham 033D,Newham,45.9
E01034206,Newham 033F,Newham,45.9
E01003604,Newham 031D,Newham,53.3
E01003550,Newham 001D,Newham,47.7
E01003545,Newham 006A,Newham,53.7
E01003535,Newham 023A,Newham,42.4
E01003624,Newham 024E,Newham,41.9
E01034207,Newham 033G,Newham,39.9
E01003502,Newham 030C,Newham,58.7
E01003503,Newham 030D,Newham,58.7
E01034209,Newham 034K,Newham,63.1
E01003536,Newham 023B,Newham,42.4
E01003538,Newham 029A,Newham,40.6
E01003513,Newham 035D,Newham,39.9
E01003590,Newham 003D,Newham,45.7
E01003479,Newham 035A,Newham,39.9
E01003497,Newham 034A,Newham,63.1
