FID,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60_,WorkPop,Shape__Area,Shape__Length
3428,E01003489,Newham 019B,Newham 019B,122210.3504,1619.458639,6119,2,Newham 019B,E09000025,Newham,34.363,6119,2,0.236,4705,2,0.118,9926,4,21.799,12670,4,0.009,15872,5,0.577,8032,3,50.876,224,1,25.56,11437,4,0.232,7946,3,0.472,861,1,-0.315,21196,7,0.393,7262,3,-0.943,29365,9,6.995,16,1,-0.834,27637,9,1.624,1238,1,1824,497,1099,228,1071.25,315435.0971,2602.807018
3429,E01003490,Newham 019C,Newham 019C,100829.0112,1983.466431,7543,3,Newham 019C,E09000025,Newham,31.017,7543,3,0.212,5991,2,0.093,13702,5,23.332,11710,4,-0.068,17065,6,0.29,12079,4,49.789,350,1,30.586,8468,3,0.245,7212,3,0.407,1744,1,-0.104,17812,6,0.389,7551,3,-1.331,31602,10,6.921,26,1,0.059,15536,5,1.342,2246,1,1945,511,1285,149,1257.75,260252.9365,3187.555291
3430,E01003491,Newham 022A,Newham 022A,103034.5096,1796.294891,8256,3,Newham 022A,E09000025,Newham,29.506,8256,3,0.186,7609,3,0.083,15663,5,14.984,17368,6,-0.43,22509,7,0.547,8439,3,47.616,612,1,45.903,2696,1,0.187,10962,4,0.507,599,1,-0.3,20958,7,0.322,13637,5,-2.072,32790,10,6.598,101,1,0.598,7959,3,1.752,885,1,2209,378,1470,361,1452,265930.8052,2886.869727
3431,E01003492,Newham 025A,Newham 025A,97056.26461,1893.145344,10800,4,Newham 025A,E09000025,Newham,24.941,10800,4,0.114,14389,5,0.059,21656,7,21.226,13008,4,-0.144,18298,6,0.336,11389,4,46.709,770,1,43.686,3247,1,0.113,17803,6,0.284,5332,2,-0.044,16796,6,0.362,9720,3,-1.218,31116,10,6.376,175,1,0.715,6621,3,1.385,2055,1,2199,571,1393,235,1366.25,250456.8112,3040.831996
3432,E01003493,Newham 025B,Newham 025B,139677.9454,2425.068938,9393,3,Newham 025B,E09000025,Newham,27.328,9393,3,0.157,9908,4,0.09,14302,5,19.267,14214,5,-0.345,21373,7,0.411,10288,4,48.452,519,1,33.128,7140,3,0.17,12277,4,0.335,3450,2,-0.075,17345,6,0.345,11234,4,-1.285,31422,10,6.665,85,1,0.167,13868,5,1.404,1965,1,2445,607,1594,244,1572.25,360462.6993,3895.643457
3433,E01003494,Newham 025C,Newham 025C,104678.1115,1960.805251,13284,5,Newham 025C,E09000025,Newham,21.333,13284,5,0.113,14602,5,0.056,22694,7,19.303,14190,5,-0.751,26481,9,0.105,15051,5,43.189,1390,1,40.542,4088,2,0.142,14767,5,0.217,8820,3,0.007,15977,5,0.336,12167,4,-1.131,30678,10,5.825,403,1,0.605,7877,3,1.338,2268,1,2390,671,1498,221,1462.25,270096.8549,3149.981969
3435,E01003495,Newham 025D,Newham 025D,118298.8123,1607.673852,16134,5,Newham 025D,E09000025,Newham,17.983,16134,5,0.103,15850,5,0.056,22569,7,12.793,19222,6,-0.603,24750,8,-0.269,20606,7,39.295,2405,1,36.284,5691,2,0.134,15594,5,0.204,9704,3,-0.682,26287,9,0.326,13195,5,-1.107,30532,10,5.258,744,1,0.391,10651,4,1.351,2212,1,2202,588,1416,198,1395.75,305244.1033,2582.581219
3436,E01003496,Newham 027A,Newham 027A,188113.9957,1876.849595,8737,3,Newham 027A,E09000025,Newham,28.548,8737,3,0.185,7699,3,0.123,9364,3,12.787,19228,6,-0.053,16839,6,0.365,10946,4,48.013,564,1,18.425,16488,6,0.243,7319,3,0.402,1825,1,-0.254,20274,7,0.289,17161,6,-0.65,26235,8,6.267,209,1,-0.814,27459,9,1.042,3854,2,1424,272,1036,116,1018,485413.4399,3014.121617
3437,E01003497,Newham 034A,Newham 034A,680827.1032,5493.647668,6552,2,Newham 034A,E09000025,Newham,33.279,6552,2,0.198,6806,3,0.111,10891,4,26.39,10105,4,0.264,12135,4,0.708,6427,2,47.399,642,1,27.908,10006,4,0.281,5284,2,0.338,3364,2,-0.373,22038,7,0.439,4537,2,-1.07,30297,10,6.432,155,1,-0.478,23616,8,1.622,1243,1,1717,335,1152,230,1142.5,1756228.096,8824.115375
3438,E01003498,Newham 027B,Newham 027B,234511.4485,3128.891645,6586,3,Newham 027B,E09000025,Newham,33.218,6586,3,0.193,7080,3,0.118,9883,4,20.096,13712,5,0.253,12288,4,0.892,4475,2,50.404,277,1,18.682,16284,5,0.246,7153,3,0.359,2821,1,-0.316,21206,7,0.377,8486,3,-0.825,28234,9,6.789,53,1,-0.853,27803,9,1.078,3612,2,1855,403,1295,157,1279,605081.5994,5024.468577
3439,E01003499,Newham 030A,Newham 030A,169697.9669,2344.372331,4081,2,Newham 030A,E09000025,Newham,40.608,4081,2,0.247,4182,2,0.141,7400,3,22.394,12299,4,0.485,9265,3,0.991,3597,2,50.15,300,1,34.666,6388,2,0.299,4387,2,0.399,1886,1,-0.217,19678,6,0.391,7426,3,-1.411,31889,10,7.086,8,1,0.079,15224,5,1.632,1205,1,2601,647,1609,345,1584.75,437816.0131,3764.43131
3440,E01003500,Newham 027C,Newham 027C,732504.4897,5790.017779,6133,2,Newham 027C,E09000025,Newham,34.325,6133,2,0.183,7786,3,0.125,9082,3,20.174,13675,5,0.41,10198,4,0.625,7399,3,52.009,149,1,29.179,9283,3,0.226,8356,3,0.397,1934,1,-0.198,19371,6,0.368,9246,3,-0.238,19905,7,6.418,162,1,0.181,13595,5,1.059,3736,2,2202,494,1482,226,1472.5,1889923.743,9298.774377
3441,E01003501,Newham 030B,Newham 030B,157720.5931,2537.242211,5437,2,Newham 030B,E09000025,Newham,36.283,5437,2,0.215,5783,2,0.141,7359,3,24.032,11325,4,0.076,14854,5,0.925,4181,2,50.136,302,1,24.057,12375,4,0.254,6679,3,0.402,1832,1,-0.316,21205,7,0.414,5902,2,-0.876,28727,9,6.782,56,1,-0.169,19138,6,1.058,3744,2,2355,522,1565,268,1554,406889.1135,4073.673148
3442,E01003502,Newham 030C,Newham 030C,154617.5423,3282.312821,5384,2,Newham 030C,E09000025,Newham,36.469,5384,2,0.23,4987,2,0.111,10831,4,21.271,12986,4,0.009,15871,5,1.062,3056,1,49.474,398,1,36.791,5462,2,0.323,3491,2,0.457,1014,1,-0.3,20961,7,0.386,7712,3,-1.066,30265,10,6.758,59,1,-0.017,16743,6,1.882,600,1,2042,443,1387,212,1416.5,398833.0627,5270.953241
