LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other,White British%,White%,Asian%,Black%
E01003520,Newham,E09000025,1988,91,2,1,12,235,21,8,11,11,360,9,564,254,162,89,30,25,13,90,4.58,17.15,67.86,7.24
E01003521,Newham,E09000025,2173,164,6,16,22,236,11,13,5,10,336,7,453,287,319,75,28,21,11,153,7.55,20.43,64.52,5.71
E01003522,Newham,E09000025,1854,107,4,6,27,171,5,17,7,21,353,6,417,260,251,68,38,10,21,65,5.77,16.99,69.42,6.26
E01003523,Newham,E09000025,2469,267,9,4,11,577,14,14,18,31,428,18,260,244,200,182,60,25,9,98,10.81,35.16,46.58,10.81
E01003524,Newham,E09000025,1929,134,4,3,6,192,4,19,13,11,438,1,336,336,145,116,50,25,14,82,6.95,17.57,65.11,9.9
E01003525,Newham,E09000025,2082,100,6,0,7,158,20,11,16,32,342,9,350,650,101,113,39,6,12,110,4.8,13.02,69.74,7.59
E01003526,Newham,E09000025,1885,159,4,3,11,142,20,9,5,28,351,5,223,603,86,111,47,27,13,38,8.44,16.92,67.27,9.81
E01003527,Newham,E09000025,1828,337,14,3,6,209,21,3,18,32,289,8,214,279,112,85,72,17,27,82,18.44,31.13,49.34,9.52
E01003528,Newham,E09000025,1352,75,6,0,0,88,2,6,11,22,370,2,230,162,66,178,64,34,5,31,5.55,12.5,61.39,20.41
E01003529,Newham,E09000025,2426,64,7,6,10,155,6,10,3,4,299,11,796,596,246,71,23,14,16,89,2.64,9.98,80.3,4.45
E01003530,Newham,E09000025,1891,132,5,6,10,249,10,0,1,19,198,6,644,317,91,52,47,8,10,86,6.98,21.26,66.42,5.66
E01003531,Newham,E09000025,2252,105,3,1,2,163,15,4,20,7,335,3,916,326,99,125,41,18,12,57,4.66,12.17,74.56,8.17
E01003532,Newham,E09000025,2305,73,6,5,16,184,14,4,4,7,287,13,1050,323,104,82,34,16,0,83,3.17,12.32,77.09,5.73
E01003533,Newham,E09000025,2316,115,3,1,9,121,14,2,11,15,361,0,690,439,60,317,36,32,29,61,4.97,10.75,66.93,16.62
E01003534,Newham,E09000025,2326,78,12,2,6,134,35,2,13,28,508,6,564,449,148,140,74,18,9,100,3.35,9.97,72.01,9.97
E01003535,Newham,E09000025,1857,413,2,0,0,165,14,17,21,36,344,3,99,134,68,274,113,50,35,69,22.24,31.23,34.89,23.53
E01003536,Newham,E09000025,2127,284,7,10,9,281,23,32,31,46,399,10,164,171,254,190,87,26,38,65,13.35,27.79,46.92,14.25
E01003537,Newham,E09000025,2159,376,9,1,9,317,24,12,29,28,280,7,192,295,161,171,56,39,18,135,17.42,32.98,43.31,12.32
E01003538,Newham,E09000025,2136,379,2,5,11,316,14,19,31,31,371,11,177,147,90,272,105,40,26,89,17.74,33.38,37.27,19.52
E01003539,Newham,E09000025,2518,324,9,4,15,492,21,32,28,36,453,16,145,319,111,257,87,44,31,94,12.87,33.52,41.46,15.41
E01003540,Newham,E09000025,2022,373,14,4,11,228,15,9,39,30,290,11,258,152,85,304,95,37,20,47,18.45,31.16,39.37,21.56
E01003541,Newham,E09000025,2021,307,5,5,14,308,17,21,10,35,462,16,83,201,95,262,64,48,18,50,15.19,31.62,42.4,18.51
E01003542,Newham,E09000025,2233,246,7,1,8,164,23,12,27,22,468,15,193,211,120,444,108,62,46,56,11.02,19.08,45.1,27.5
E01003543,Newham,E09000025,2320,608,41,2,7,375,30,28,31,44,282,7,132,174,71,221,126,33,26,82,26.21,44.53,28.71,16.38
E01003544,Newham,E09000025,1804,365,13,6,18,310,11,28,33,50,254,8,103,99,63,189,128,49,15,62,20.23,39.47,29.21,20.29
E01003545,Newham,E09000025,1752,329,18,0,13,323,20,32,26,55,195,13,80,97,56,248,142,45,5,55,18.78,38.98,25.17,24.83
E01003546,Newham,E09000025,1788,284,14,1,9,253,14,10,30,30,367,4,105,123,55,238,158,43,5,45,15.88,31.38,36.58,24.55
E01003547,Newham,E09000025,1951,732,30,0,16,286,38,20,33,38,199,9,100,116,47,106,77,30,8,66,37.52,54.54,24.14,10.92
E01003548,Newham,E09000025,2263,456,16,1,22,537,29,33,36,27,185,34,91,154,63,275,145,34,24,101,20.15,45.6,23.29,20.06
E01003549,Newham,E09000025,2120,382,17,0,20,434,17,28,36,47,289,36,94,105,67,247,137,54,19,91,18.02,40.24,27.88,20.66
E01003550,Newham,E09000025,1777,338,19,0,6,274,19,15,23,32,266,11,74,140,40,272,119,53,10,66,19.02,35.85,29.88,24.99
E01003551,Newham,E09000025,1833,273,22,0,16,385,14,36,22,35,297,8,85,132,18,235,94,44,23,94,14.89,37.97,29.46,20.35
E01003552,Newham,E09000025,1595,207,12,0,21,246,9,11,8,34,427,5,177,92,43,131,93,25,11,43,12.98,30.47,46.65,15.61
E01003553,Newham,E09000025,2026,298,3,0,19,269,13,15,50,34,468,14,96,106,78,292,150,36,17,68,14.71,29.07,37.61,23.59
E01003554,Newham,E09000025,1902,398,11,0,10,480,26,12,29,34,225,19,159,71,68,150,102,18,17,73,20.93,47.27,28.5,14.2
E01003555,Newham,E09000025,1887,207,14,0,4,97,20,10,19,24,338,7,364,313,44,91,118,148,15,54,10.97,17.06,56.49,18.92
E01003556,Newham,E09000025,1970,199,6,0,1,187,23,33,21,27,554,14,171,126,124,259,72,58,40,55,10.1,19.95,50.2,19.75
E01003557,Newham,E09000025,1954,230,12,3,9,287,27,33,21,24,557,3,103,144,79,230,70,47,16,59,11.77,27.69,45.34,17.76
E01003558,Newham,E09000025,1709,129,0,1,9,180,7,11,9,17,471,4,333,176,44,177,49,20,9,63,7.55,18.67,60.15,14.39
E01003559,Newham,E09000025,2397,559,40,0,49,523,35,36,62,50,223,51,122,73,66,224,118,47,15,104,23.32,48.85,22.32,16.23
E01003560,Newham,E09000025,1667,84,2,9,6,139,7,2,11,9,371,3,417,318,50,76,48,12,1,102,5.04,14.4,69.53,8.16
E01003561,Newham,E09000025,1713,75,0,0,6,90,14,7,10,16,394,11,495,300,51,97,72,10,3,62,4.38,9.98,73.03,10.45
E01003562,Newham,E09000025,2096,63,0,5,5,181,29,9,8,11,415,3,841,271,56,89,44,14,2,50,3.01,12.12,75.67,7.01
E01003563,Newham,E09000025,2622,128,9,0,8,159,15,11,16,22,402,1,940,316,68,347,52,35,10,83,4.88,11.59,65.87,16.55
E01003564,Newham,E09000025,2372,153,5,1,27,216,12,15,15,24,520,9,697,314,67,161,38,11,15,72,6.45,16.95,67.75,8.85
E01003565,Newham,E09000025,2090,102,10,0,7,184,6,3,8,10,333,7,507,389,125,222,43,62,12,60,4.88,14.5,65.12,15.65
E01003566,Newham,E09000025,1963,70,12,0,6,130,26,5,10,18,567,5,344,452,74,81,31,13,16,103,3.57,11.11,73.46,6.37
E01003567,Newham,E09000025,1944,101,7,7,5,179,7,13,22,14,505,3,507,253,65,81,78,31,15,51,5.2,15.38,68.57,9.77
E01003568,Newham,E09000025,2590,117,2,0,5,205,11,16,10,23,539,2,797,559,35,103,41,14,11,100,4.52,12.7,74.59,6.1
E01003569,Newham,E09000025,2467,77,5,4,5,214,21,5,13,16,747,5,607,505,47,70,23,13,16,74,3.12,12.36,77.46,4.3
E01003570,Newham,E09000025,1901,135,2,0,8,136,24,7,18,19,554,16,393,288,31,115,54,18,5,78,7.1,14.78,67.44,9.84
E01003571,Newham,E09000025,2273,120,11,0,7,156,19,5,3,3,578,5,555,500,72,93,61,18,5,62,5.28,12.93,75.23,7.57
E01003572,Newham,E09000025,1684,85,8,6,2,160,16,4,5,26,368,2,468,257,46,86,46,20,26,53,5.05,15.5,67.76,9.03
E01003573,Newham,E09000025,2329,82,1,3,12,133,25,9,9,13,455,7,701,598,40,97,56,26,8,54,3.52,9.92,77.33,7.69
E01003574,Newham,E09000025,2538,157,19,2,1,237,14,24,17,30,595,3,581,382,77,175,85,36,13,90,6.19,16.39,64.54,11.66
E01003575,Newham,E09000025,1655,130,8,0,5,153,10,8,6,16,571,3,249,174,79,93,73,17,3,57,7.85,17.89,65.02,11.06
E01003576,Newham,E09000025,1801,176,7,2,9,132,8,14,15,26,569,10,154,152,54,300,74,40,5,54,9.77,18.1,52.14,22.99
E01003577,Newham,E09000025,2388,189,10,0,11,167,4,22,43,42,649,8,204,186,55,473,100,100,26,99,7.91,15.79,46.15,28.18
E01003578,Newham,E09000025,2002,166,12,6,30,250,12,16,16,25,644,4,157,234,67,190,67,24,19,63,8.29,23.18,55.24,14.04
E01003579,Newham,E09000025,1984,109,11,0,4,130,5,13,14,24,643,5,232,364,121,149,38,25,18,79,5.49,12.8,68.8,10.69
E01003580,Newham,E09000025,2006,186,9,0,9,141,8,24,20,33,456,1,219,269,99,265,108,66,22,71,9.27,17.2,52.04,21.88
E01003581,Newham,E09000025,1798,111,2,0,18,161,6,3,11,10,619,2,198,236,98,156,63,34,24,46,6.17,16.24,64.13,14.07
