FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,IMD_Shape__Area,IMD_Shape__Length
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,83086a89-0b0e-460d-a8ab-b5aef563332d,2194.416272,79551.92329,2194.416272,0.036547,92,61.27709682,0.07,0.93,46.465,41.1,11544,4,23.743,11544,4,0.141,11323,4,0.069,18944,6,17.589,15404,5,-0.54,23929,8,0.23,13034,4,206148.7383,3425.465632
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,5106b813-e351-4f80-896b-ec23750ecc4e,1663.375086,98159.67957,1663.375086,0.0338,92,153.1899438,0.22,0.78,46.39,41.1,7033,3,32.133,7033,3,0.21,6105,2,0.106,11564,4,22.357,12315,4,0.04,15387,5,0.311,11780,4,254900.8691,2610.584295
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,086cd3cd-60bd-4cc6-8158-f91d08248aa4,2115.949436,138028.7688,2115.949436,0.02602,74,117.134765,0.17,0.83,37.415,51.2,3646,2,42.29,3646,2,0.255,3809,2,0.128,8783,3,21.586,12813,4,0.229,12659,4,1.549,930,1,358134.8376,3253.763547
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,de6093cc-663b-4610-a8a8-84c635cf544c,2242.601808,150344.8925,2242.601808,0.023821,85,111.2820766,0.16,0.84,42.92,51.2,4804,2,38.255,4804,2,0.217,5724,2,0.114,10470,4,24.024,11330,4,0.228,12675,4,1.285,1815,1,386556.3208,3269.475029
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,2508a3df-4aa3-4c37-83f6-cfe1293f6bdc,1818.724733,102583.0207,1818.724733,0.029226,81,183.3874223,0.27,0.73,40.865,51.2,7384,3,31.336,7384,3,0.164,9322,3,0.08,16287,5,22.616,12170,4,0.077,14845,5,0.894,4446,2,257642.2595,2741.254151
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,703e5e8d-cb50-419e-a30b-ac76bc11dcca,1991.708032,105063.8665,1991.708032,0.029606,69,201.3621329,0.3,0.7,34.85,51.2,9039,3,27.983,9039,3,0.177,8288,3,0.089,14477,5,16.775,15985,5,-0.023,16355,5,0.195,13589,5,277833.6581,3032.800949
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,048cd9b6-4863-4271-980b-e9bd517a6293,1662.724723,93765.97794,1662.724723,0.025431,88,54.00450391,0.06,0.94,44.47,51.2,9158,3,27.781,9158,3,0.183,7849,3,0.101,12312,4,19.958,13788,5,-0.075,17185,6,0.075,15501,5,238844.7413,2528.962108
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,8d2a7ad6-6d56-42a5-b498-8915408e38f3,1717.3069,95354.01312,1717.3069,0.01848,65,141.4399579,0.21,0.79,32.895,58.9,5894,2,34.983,5894,2,0.173,8576,3,0.118,9979,4,10.929,20965,7,0.881,5214,2,0.688,6637,3,245308.0057,2538.8977
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,be551d7d-c3b1-4e97-880e-dcce7bcbc766,1900.108169,104076.3767,1900.108169,0.013165,74,120.3320959,0.17,0.83,37.415,58.9,5596,2,35.838,5596,2,0.231,4955,2,0.131,8366,3,12.39,19584,6,0.498,9121,3,0.772,5713,2,268141.0606,2736.743431
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,69335914-c265-4dc8-bfa0-c2e413e62fe9,1849.64639,97792.53904,1849.64639,0.014705,21,220.956902,0.34,0.66,10.83,58.9,12839,4,21.902,12839,4,0.108,15162,5,0.064,20432,7,10.738,21142,7,-0.083,17304,6,0.528,8696,3,257339.0143,2879.078772
