FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Points to Stations_HubDist,Points to Stations_Distance,Points to Stations_NormDist,Accessibility Index,No Car or vans in household(%),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Income Decile,Employment Decile,Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,Income Rank
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,93,202.4995554,0.12,0.88,46.94,52.7,34.3,0.2,2,3,23,0.2,49,27.5,6404
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,97.22,257.1578787,0.15,0.85,49.035,52.7,29.8,0.2,2,4,17,-0.1,45.9,25.9,6192
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,97.61,341.3143721,0.21,0.79,49.2,52.7,31.2,0.2,2,3,18.3,0,48.8,22.1,4787
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,66.11,417.9037022,0.26,0.74,33.425,52.7,22,0.1,5,7,9.1,-0.1,46.5,31.3,14933
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,,1348.886471,0.85,0.15,0.075,47.1,37.2,0.2,2,3,24.8,0.4,46.3,35.9,6435
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,,1002.468696,0.63,0.37,0.185,51.4,26.1,0.1,4,5,16.4,0.1,46.8,29.1,10752
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,0.41,733.8992355,0.46,0.54,0.475,51.4,30.5,0.2,3,4,13.3,0,50.2,31.7,7708
32241,E01034202,Newham 022F,,540995,182984,51.5282,0.031179,,789.6325984,0.49,0.51,0.255,52.7,,,,,,,,,
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,,1248.504038,0.78,0.22,0.11,47.1,22.8,0.1,4,7,15.6,-0.3,45.9,34.8,11884
3444,E01003608,Newham 028D,,541192,182719,51.5257,0.033911,,1053.823338,0.66,0.34,0.17,47.1,23.9,0.1,5,8,11.2,-0.3,46.2,45.6,16380
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,,775.281871,0.48,0.52,0.26,42.4,23.1,0.1,4,7,22,-0.2,46.9,25.7,10721
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,,1026.119422,0.64,0.36,0.18,42.4,33.7,0.2,3,4,23.3,0,50.6,32.4,8216
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,,1323.593909,0.83,0.17,0.085,42.4,31.4,0.2,3,4,25.3,0.1,48.6,26.3,8078
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,10.47,642.7320362,0.4,0.6,5.535,42.3,21.4,0.1,5,7,11.4,-0.3,47.2,29.2,13158
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,98.38,336.3781259,0.21,0.79,49.585,42.3,27,0.2,3,6,17.2,-0.4,49.6,46.3,9361
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,92.61,339.940509,0.21,0.79,46.7,53,39.5,0.2,2,2,22.7,0.4,50.7,20.4,4050
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,100,323.8626282,0.2,0.8,50.4,53,31.1,0.2,3,3,21.6,0.3,51.6,21,7763
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,98.65,144.0501189,0.08,0.92,49.785,67,35.3,0.2,3,4,10.2,0.6,53,40.1,7028
31674,E01033586,Newham 040D,,538630,183273,51.5313,-0.00278,60.06,464.6876835,0.29,0.71,30.385,70.8,34.5,0.2,3,4,11.6,0.1,57.3,54,6605
31669,E01033579,Newham 040C,,537880,183346,51.5322,-0.01355,85.62,106.4130077,0.06,0.94,43.28,70.8,21.1,0.1,8,10,7.2,-0.1,55.9,48.1,25166
31670,E01033580,Newham 042A,,540729,180295,51.5041,0.026274,100,198.8905435,0.12,0.88,50.44,60.1,8.9,0,10,10,5,-0.4,37,14.8,30743
3324,E01003483,Newham 032A,,542083,181918,51.5183,0.046423,,1028.696672,0.64,0.36,0.18,39.6,37.2,0.2,2,3,24.6,0.2,57.8,16.3,4675
3325,E01003484,Newham 032B,,542576,181891,51.5179,0.053513,23.8,581.7077677,0.36,0.64,12.22,39.6,22.7,0.2,4,6,12.5,-0.2,48.7,20.4,10428
