FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Acc,No Car or vans in household(%),IMD_Rank,Decile,IMDScore
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,88548508-ee95-4fbf-a337-9dc854e19183,1946.087911,114452.16,1946.087911,0.042354,81,104.8551873,0.15,0.85,40.925,40.9,9258,3,27.567
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,eda7bbd6-6404-4f1f-86f8-311bde89f7c6,1258.543549,79389.43534,1258.543549,0.03928,40,177.0290134,0.26,0.74,20.37,40.9,9022,3,28.024
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,ce7704c7-7a42-4df5-8d2e-e152e11d008a,1413.378818,91063.65065,1413.378818,0.040283,40,200.7040778,0.3,0.7,20.35,40.9,9532,3,27.104
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,c6e0b592-b250-40b8-926c-52d0f925bca5,1762.341287,74496.91395,1762.341287,0.043461,17,317.7081673,0.49,0.51,8.755,40.9,8411,3,29.189
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,f06d9cee-ec5a-4fcb-ae4d-c57c8c315276,1620.094894,137437.0081,1620.094894,0.046013,25,276.9477176,0.43,0.57,12.785,40.9,9696,3,26.805
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,fe57992a-27f5-4e65-8dbf-2a9f28581f3e,2704.518572,145546.4306,2704.518572,0.003952,54,235.4274628,0.36,0.64,27.32,67,8296,3,29.41
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,792f5692-1451-472b-aaa5-129ceeb9f92a,2285.939582,160469.1146,2285.939582,0.007173,71,62.5454918,0.08,0.92,35.96,67,9706,3,26.797
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,6c608c10-48ef-4cc7-9b8b-d278a1cb3e29,3298.231221,254101.4631,3298.231221,0.001343,54,228.2537514,0.35,0.65,27.325,67,5784,2,35.297
32238,E01034199,Newham 012E,,538888,184896,51.5459,0.001579,6ca27274-1db1-4507-89d1-490b395a6cbf,2089.620825,105587.1947,2089.620825,0.001579,82,150.7700632,0.22,0.78,41.39,67,8005,3,30.044
32239,E01034200,Newham 012F,,538881,184529,51.5426,0.001334,cb262565-ee95-45f7-b7be-cd16ea6d66a7,1708.859851,127111.9692,1708.859851,0.001334,93,137.6598788,0.2,0.8,46.9,67,8005,3,30.044
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,088a8714-b38f-42e8-a0f2-a33cafc0b1a8,1946.357483,98370.33146,1946.357483,0.035791,97,105.1969894,0.15,0.85,48.925,41.1,10266,4,25.879
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,74d7b30d-b0f8-430a-83ad-5892e35ce667,1925.478242,108723.5874,1925.478242,0.035785,67,181.3291908,0.27,0.73,33.865,48.3,9354,3,27.393
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,ad01c6cc-e659-4dc6-881d-0a9ceab888a0,1316.243413,90240.8645,1316.243413,0.040434,94,88.42974531,0.12,0.88,47.44,48.3,10503,4,25.412
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,c35a7ce5-2cbb-4122-a324-e2880a80a97b,1672.800098,97230.3319,1672.800098,0.036209,90,55.11009442,0.06,0.94,45.47,48.3,7833,3,30.414
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,78839971-a2bc-47e5-b1c0-a57152cdeaae,3640.301713,318912.8923,3640.301713,0.06273,0,625.8927257,1,0,0,42.3,8697,3,28.623
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,6ab54e70-1e33-4636-ba0b-df30e87d6c94,1617.975951,102569.7356,1617.975951,0.058957,1.5,266.9340759,0.41,0.59,1.045,42.3,11413,4,23.921
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,72bf218b-2198-4ce5-9633-cebf0f261a66,1673.364415,76271.98174,1673.364415,0.058961,0,446.9799303,0.71,0.29,0.145,42.3,8805,3,28.43
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,6d8df474-b7cb-4f6c-8f4f-16436c241c89,2005.905125,92848.32485,2005.905125,0.0628,0,400.7627454,0.63,0.37,0.185,42.3,13234,5,21.405
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,1aa512d5-8de2-4deb-beef-61f58660c302,1149.62164,65132.94456,1149.62164,0.055747,0,272.3840772,0.42,0.58,0.29,42.3,9618,3,26.957
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,ae3a4f89-716e-4871-9178-ca10648e2c3b,1957.519894,106435.4352,1957.519894,0.020394,19,277.8549564,0.43,0.57,9.785,47.7,8113,3,29.808
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,b21f1e68-b2bf-4bde-ae7b-d964237908e0,2620.810812,111756.023,2620.810812,0.019674,78,31.25721445,0.02,0.98,39.49,47.7,10626,4,25.24
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,778562db-4f0d-4026-b405-aff962e0d66d,1719.336137,89695.70461,1719.336137,0.02485,57,168.2828411,0.25,0.75,28.875,47.7,10384,4,25.676
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,5e820211-32e2-4068-a15e-7ca774fb4ec2,3748.525576,396524.8893,3748.525576,0.016407,45,199.37955,0.3,0.7,22.85,47.7,10995,4,24.619
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,ccfc64fc-7534-46d8-aae8-e9385ed21849,1608.013805,109774.6349,1608.013805,0.029595,28,226.5930891,0.34,0.66,14.33,47.2,11361,4,24.045
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,d044b13d-20e7-4586-95fa-ed7dd5f08fab,1642.686384,104757.9704,1642.686384,0.032283,90,56.16907518,0.07,0.93,45.465,47.2,9189,3,27.715
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,0c4f5589-0b37-49a0-8ec9-5b5d958ce6f9,1929.547386,99558.64574,1929.547386,0.03149,51,140.8247205,0.2,0.8,25.9,47.2,9549,3,27.069
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,af0b43c0-cbbf-4baa-b7f0-df976c46a9e9,2635.604574,189281.5593,2635.604574,0.025737,72,190.9000663,0.29,0.71,36.355,47.2,8339,3,29.332
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,34619c5f-2560-4577-a9a9-08d8c8b1e6fe,2441.052702,130230.6204,2441.052702,0.048255,56,104.7300347,0.15,0.85,28.425,51,9784,3,26.667
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,3dc86957-72a5-4ad6-9357-fd58fcf6dfa1,2207.138077,136301.0823,2207.138077,0.054228,86,74.82980804,0.1,0.9,43.45,51,8772,3,28.488
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,a49ea6bd-bd30-4b61-a1ae-4f787fa044db,1321.228795,78206.31834,1321.228795,0.048799,27,207.1732284,0.31,0.69,13.845,51,7371,3,31.365
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,55da863c-be9c-4540-9269-e061c13be263,2312.062608,129160.3486,2312.062608,0.050849,86,22.47159208,0.01,0.99,43.495,51,7708,3,30.664
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,bab6e75f-95c2-4746-89da-54a6d70f9aca,2091.463336,107078.6944,2091.463336,0.05214,61,169.8706087,0.25,0.75,30.875,51,7996,3,30.073
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,38b0cecb-efc9-40e6-a2fe-596ae596f7b8,2231.035641,130102.7559,2231.035641,0.041735,30,346.1918448,0.54,0.46,15.23,52,4059,2,40.69
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,2d5fdbe5-3180-4339-b378-1d149c0cc330,1671.189108,122658.6131,1671.189108,0.037931,61,137.0988116,0.2,0.8,30.9,52,6119,2,34.363
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,233c0330-5f24-43aa-b485-02583ca87179,2092.72715,100644.3679,2092.72715,0.044217,12,365.1892649,0.57,0.43,6.215,52,7543,3,31.017
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,93b53e4c-8af2-455e-b638-8902b8d55002,1728.325196,88078.38318,1728.325196,0.046574,45,164.2365294,0.24,0.76,22.88,52,8734,3,28.552
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,00a58efb-bc56-4593-a890-142a3fa97be0,2302.268563,165621.4174,2302.268563,0.0074,60,25.53596677,0.02,0.98,30.49,53,9440,3,27.243
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,12162e5c-a629-4d93-b5d6-efc8676357e3,1965.293203,136922.8911,1965.293203,0.01249,42,218.4453401,0.33,0.67,21.335,53,13571,5,20.975
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,8aa267dc-39e9-4566-af1a-905a2ef0133b,1826.383975,96301.01116,1826.383975,0.008349,89,20.80592461,0.01,0.99,44.995,53,4440,2,39.451
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,f0872b2e-ce5a-488e-a41f-9804497307b7,1745.833029,145213.7813,1745.833029,0.003782,27,211.3266674,0.32,0.68,13.84,53,7499,3,31.094
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,0a787fd3-c0e0-4e1a-b002-03ec4624658a,2611.089084,196109.3238,2611.089084,0.008391,67,61.89273093,0.07,0.93,33.965,53,6945,3,32.341
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,6564d00e-827c-486c-bdad-d489e53010e6,1698.957878,71890.86195,1698.957878,0.020685,70,142.2010099,0.21,0.79,35.395,52.7,7435,3,31.237
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,c6df4924-9ae3-452f-b88b-b9b4eabadf98,2713.253928,110210.8899,2713.253928,0.020487,89,74.04925536,0.09,0.91,44.955,52.7,6130,2,34.336
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,0529503c-8000-40ce-8ae4-c8e14633e3a2,2504.621678,104332.3324,2504.621678,0.014988,90,54.42157677,0.06,0.94,45.47,52.7,8101,3,29.832
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,78e82277-fe0e-4916-bd69-9af4cf79ced2,2113.94204,94156.0002,2113.94204,0.014438,51,186.8522732,0.28,0.72,25.86,52.7,12791,4,21.981
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,01d15f4e-0143-4f90-b761-843ebff331f4,1871.747978,103578.4404,1871.747978,0.034964,76,92.29625739,0.12,0.88,38.44,52.7,8256,3,29.506
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,4a083700-9fb1-40dc-b866-1ad9a4a0cb9c,2228.972335,146191.5792,2228.972335,0.025685,20,274.8822562,0.42,0.58,10.29,52.7,6110,2,34.378
3436,E01003599,Newham 022C,,541005,183475,51.5326,0.031519,5c5f341c-ceaf-464e-bbe2-2e2b7405943a,2005.001422,133974.63,2005.001422,0.031519,2.4,376.6898228,0.59,0.41,1.405,52.7,7477,3,31.152
32240,E01034201,Newham 022E,,541031,183220,51.5303,0.031792,e6142eb9-869e-4f60-abaf-6887b9ac602d,1835.185497,70129.08408,1835.185497,0.031792,37,158.6942425,0.23,0.77,18.885,52.7,8735,3,28.551
32241,E01034202,Newham 022F,,540995,182984,51.5282,0.031179,1c961eb6-db17-4c90-9ca5-940c8945c45f,2079.107544,94315.5807,2079.107544,0.031179,65,157.5173586,0.23,0.77,32.885,52.7,8735,3,28.551
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,4cb8d7e0-44eb-4724-9615-44170972adc0,4155.89502,517094.9905,4155.89502,0.071978,42,298.2995496,0.46,0.54,21.27,42.4,3580,2,42.56
3373,E01003536,Newham 023B,,543342,182687,51.5249,0.064868,2a65a0ad-78d4-489e-b80b-f0b3d265f164,2547.3534,174708.6465,2547.3534,0.064868,68,127.8575025,0.18,0.82,34.41,42.4,8245,3,29.531
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,ac6378cd-77ba-495f-b18c-9fd3562a7ba7,1224.947447,67052.44161,1224.947447,0.061044,46,204.6305873,0.31,0.69,23.345,42.4,12000,4,23.076
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,d9717c22-9f7a-45f9-b1e4-bb94a522c2c7,4186.930695,241545.4588,4186.930695,0.067015,58,77.51475996,0.1,0.9,29.45,42.4,6357,2,33.739
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,959281a1-c991-41fe-b28c-e9586d192838,2604.827915,272154.254,2604.827915,0.068309,38,263.4450369,0.41,0.59,19.295,42.4,7356,3,31.385
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,f392b6fe-68f4-492c-977f-459db106825e,2776.29239,205482.5934,2776.29239,0.056073,80,72.20739162,0.09,0.91,40.455,41.9,7292,3,31.507
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,56e06971-859b-4b47-a9ac-7c8ea616d8fe,1870.49485,164340.7824,1870.49485,0.051909,9.6,350.6202261,0.55,0.45,5.025,41.9,14394,5,19.947
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,3fa0cc11-4414-4bb6-9b9f-46cf68ffe1fc,2650.136319,193919.2966,2650.136319,0.052194,27,354.9201434,0.56,0.44,13.72,41.9,10573,4,25.312
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,9dada3ff-cd1c-4a20-ad30-05bd18e6ec86,2538.004715,134232.7686,2538.004715,0.059383,79,122.7280733,0.17,0.83,39.915,41.9,6748,3,32.819
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,4bf9b1e8-a4e9-42eb-8f89-b8acbe5632c7,2388.956156,142823.1819,2388.956156,0.061359,50,166.754754,0.25,0.75,25.375,41.9,7229,3,31.648
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,be399d8c-645a-428d-a0f2-8c84df951e57,1961.6475,94042.06296,1961.6475,0.042045,93,46.90644593,0.05,0.95,46.975,41.9,10800,4,24.941
3334,E01003494,Newham 025C,,541699,182800,51.5263,0.041247,dd991fa8-7dc4-4567-a6b9-a319c1bf60d1,2054.601271,105741.8984,2054.601271,0.041247,89,132.3330363,0.19,0.81,44.905,41.9,13284,5,21.333
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,71d80515-2133-4190-8a81-378233102d50,1681.731202,118728.2427,1681.731202,0.045858,24,202.6994086,0.31,0.69,12.345,41.9,16134,5,17.983
32242,E01034203,Newham 025E,,541612,183341,51.5312,0.040211,aa503ab2-7461-4b00-ab21-49311656ea59,1319.036024,47395.577,1319.036024,0.040211,89,45.68102986,0.05,0.95,44.975,41.9,9393,3,27.328
