lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003521,"3","3",985.724,4815.897,3830.173,8520.466,2840.15533333333,2718.845,1566.01265431506,985.724,985.724,1852.2845,3767.371,1915.0865
E01003529,"1","1",1513.952,1513.952,0,1513.952,1513.952,1513.952,0,1513.952,1513.952,1513.952,1513.952,0
E01003533,"1","1",519.601,519.601,0,519.601,519.601,519.601,0,519.601,519.601,519.601,519.601,0
E01003555,"8","8",399.01,7633.459,7234.449,26194.768,3274.346,2983.4245,1966.77432012127,399.01,399.01,2301.0165,3796.7085,1495.692
E01003556,"9","9",33.173,23056.122,23022.949,60383.363,6709.26255555556,3903.788,6863.89504641823,33.173,33.173,1951.945,7721.265,5769.32
E01003586,"5","5",39.011,32347.484,32308.473,56932.113,11386.4226,7163.913,11437.6628258016,39.011,39.011,3513.545,13868.16,10354.615
E01003595,"4","4",434.646,11066.689,10632.043,16945.386,4236.3465,2722.0255,4159.81686478206,434.646,434.646,914.6845,7558.0085,6643.324
E01003599,"3","3",8.113,9661.187,9653.074,10691.742,3563.914,1022.442,4331.26381536667,8.113,8.113,515.2775,5341.8145,4826.537
E01003611,"7","7",2323.479,27918.788,25595.309,86988.838,12426.9768571429,10073.984,7829.31965578521,2323.479,2323.479,7935.7295,15400.564,7464.8345
E01003615,"1","1",290.39,290.39,0,290.39,290.39,290.39,0,290.39,290.39,290.39,290.39,0
E01003632,"7","7",638.922,15295.821,14656.899,36473.491,5210.49871428571,3472.96,4627.63475188375,638.922,638.922,2369.2525,6163.6415,3794.389
E01003637,"1","1",5521.235,5521.235,0,5521.235,5521.235,5521.235,0,5521.235,5521.235,5521.235,5521.235,0
E01034199,"8","8",63.67,10360.519,10296.849,29203.311,3650.413875,2653.8015,3519.62654196743,63.67,63.67,537.126,6198.6335,5661.5075
E01034210,"9","9",3577.533,12144.391,8566.858,61216.904,6801.87822222222,5932.878,2880.42444125756,3577.533,3577.533,4723.758,8530.051,3806.293
E01003487,"3","3",930.777,12767.531,11836.754,19043.891,6347.96366666667,5345.583,4884.03941867858,930.777,930.777,3138.18,9056.557,5918.377
E01003520,"8","8",622.247,24915.863,24293.616,82915.927,10364.490875,9441.4005,6445.37918315477,622.247,622.247,7532.6565,11714.8515,4182.195
E01003531,"8","8",3.868,33413.26,33409.392,79720.47,9965.05875,6521.3215,9619.05699766049,3.868,3.868,5110.8805,11519.469,6408.5885
E01003543,"9","9",7.844,31266.48,31258.636,117017.592,13001.9546666667,13438.338,9014.57932004933,7.844,7.844,6232.124,15165.312,8933.188
E01003547,"2","2",423.928,8613.46,8189.532,9037.388,4518.694,4518.694,4094.766,423.928,423.928,423.928,8613.46,8189.532
E01003549,"9","9",311.068,10024.945,9713.877,25399.608,2822.17866666667,2078.325,2630.7711826493,311.068,311.068,1860.379,2323.55,463.171
E01003558,"1","1",279.517,279.517,0,279.517,279.517,279.517,0,279.517,279.517,279.517,279.517,0
E01003594,"4","4",293.235,6463.948,6170.713,13958.661,3489.66525,3600.739,2437.36100618419,293.235,293.235,1182.566,5796.7645,4614.1985
E01003618,"2","2",2.136,8391.764,8389.628,8393.9,4196.95,4196.95,4194.814,2.136,2.136,2.136,8391.764,8389.628
E01003631,"17","17",203.133,32915.32,32712.187,119958.606,7056.38858823529,4148.86,8318.45818177397,203.133,203.133,2364.132,7191.593,4827.461
E01034207,"6","6",7692.938,22233.162,14540.224,88704.694,14784.1156666667,14482.842,4400.89829905053,7692.938,7692.938,12912.924,16899.986,3987.062
E01034208,"5","5",363.2,10382.056,10018.856,15003.913,3000.7826,1056.949,3756.89094193529,363.2,363.2,754.385,2447.323,1692.938
E01034221,"12","12",0.943,26008.95,26008.007,56246.47,4687.20583333333,831.9915,7972.5093704737,0.943,0.943,336.913,4332.062,3995.149
E01003550,"5","5",19.251,6449.165,6429.914,15264.241,3052.8482,3385.004,2177.73059413192,19.251,19.251,1560.177,3850.644,2290.467
