LSOA21CD,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003607,"6","6",3122.245,56574.528,53452.283,125754.188,20959.0313333333,11497.3245,18812.4144378614,3122.245,3122.245,8236.529,34826.237,26589.708
E01034202,"8","8",674.869,31321.393,30646.524,94362.272,11795.284,9165.1675,10072.3014975767,674.869,674.869,2674.8605,19342.977,16668.1165
E01003603,"9","9",2.944,58562.024,58559.08,202994.365,22554.9294444444,17016.051,21563.9935381753,2.944,2.944,2090.93,39653.74,37562.81
E01003608,"6","6",106.316,37510.009,37403.693,93072.586,15512.0976666667,11232.3515,13229.1021977714,106.316,106.316,5444.8,27546.758,22101.958
E01003621,"4","4",7867.385,22245.153,14377.768,67084.643,16771.16075,18486.0525,5799.1818648851,7867.385,7867.385,11619.537,21922.7845,10303.2475
E01003622,"7","7",3445.39,68264.662,64819.272,240667.627,34381.0895714286,33263.483,21038.0813118705,3445.39,3445.39,20952.4905,46894.5555,25942.065
E01003623,"6","6",26520.759,45913.682,19392.923,215854.468,35975.7446666667,35811.7865,6545.60977525531,26520.759,26520.759,31337.962,40458.492,9120.53
E01003628,"2","2",9899.925,46223.723,36323.798,56123.648,28061.824,28061.824,18161.899,9899.925,9899.925,9899.925,46223.723,36323.798
E01003629,"4","4",1071.494,27528.392,26456.898,65148.665,16287.16625,18274.3895,10353.4647533044,1071.494,1071.494,6866.766,25707.5665,18840.8005
E01003633,"4","4",114.517,45193.727,45079.21,96349.709,24087.42725,25520.7325,16202.6907184937,114.517,114.517,11020.9715,37153.883,26132.9115
E01003634,"5","5",10583.535,44049.14,33465.605,144192.067,28838.4134,26739.956,11654.9951151801,10583.535,10583.535,24446.923,38372.513,13925.59
E01003619,"9","9",571.927,52196.043,51624.116,251576.496,27952.944,29972.306,18703.7596172257,571.927,571.927,9264.722,46577.902,37313.18
E01033586,"6","6",4273.881,228535.752,224261.871,423345.263,70557.5438333333,27623.3665,82054.5596237515,4273.881,4273.881,9374.301,125914.596,116540.295
E01034199,"6","6",994.436,46512.3,45517.864,105640.948,17606.8246666667,15012.2165,15116.3539013168,994.436,994.436,5389.025,22720.754,17331.729
E01034200,"7","7",4108.868,29886.832,25777.964,127176.696,18168.0994285714,20967.712,9249.01507769952,4108.868,4108.868,10883.792,25222.85,14339.058
E01034219,"8","8",9778.163,48188.564,38410.401,161963.205,20245.400625,15667.244,11302.8839921332,9778.163,9778.163,14858.931,21472.064,6613.133
E01034220,"12","12",252.045,69594.98,69342.935,338454.062,28204.5051666667,32996.099,18383.0175854069,252.045,252.045,10871.158,37063.3825,26192.2245
E01034213,"4","4",1542.972,68090.651,66547.679,125126.563,31281.64075,27746.47,28431.1944561623,1542.972,1542.972,3638.7865,58924.495,55285.7085
E01034214,"5","5",1443.194,14232.616,12789.422,35306.164,7061.2328,7050.044,4322.34783703202,1443.194,1443.194,4141.538,8438.772,4297.234
E01034215,"3","3",270.274,27411.918,27141.644,37412.401,12470.8003333333,9730.209,11248.7137160341,270.274,270.274,5000.2415,18571.0635,13570.822
E01034217,"7","7",65.119,93889.694,93824.575,251937.732,35991.1045714286,29924.673,29747.8247050184,65.119,65.119,17484.904,46544.219,29059.315
E01034218,"6","6",8850.66,51225.965,42375.305,206748.603,34458.1005,44672.929,18253.7315312697,8850.66,8850.66,8858.482,48467.638,39609.156
E01034216,"3","3",7887.673,47377.576,39489.903,63413.914,21137.9713333333,8148.665,18554.5083291228,7887.673,7887.673,8018.169,27763.1205,19744.9515
E01033579,"4","4",2877.192,169850.506,166973.314,375412.515,93853.12875,101342.4085,71279.5964880667,2877.192,2877.192,24363.804,163342.4535,138978.6495
E01034221,"8","8",197.002,54642.496,54445.494,146490.173,18311.271625,7662.866,20463.6897460202,197.002,197.002,892.5655,37269.906,36377.3405
E01034222,"8","8",331.259,181096.914,180765.655,484468.448,60558.556,41127.328,62249.3555779127,331.259,331.259,5384.772,105008.0375,99623.2655
E01034223,"6","6",460.896,20187.775,19726.879,60659.729,10109.9548333333,9832.578,8082.63031080632,460.896,460.896,1675.81,18670.092,16994.282
E01034224,"8","8",5648.348,174017.171,168368.823,716041.472,89505.184,84736.112,57776.7349810726,5648.348,5648.348,37572.1805,145879.684,108307.5035
E01034225,"5","5",3771.103,222030.257,218259.154,438147.513,87629.5026,69238.732,72172.2759945984,3771.103,3771.103,64723.245,78384.176,13660.931
E01034226,"4","4",261.624,19647.781,19386.157,38804.286,9701.0715,9447.4405,7518.15271854352,261.624,261.624,2677.3315,16724.8115,14047.48
E01034228,"4","4",3990.492,27245.679,23255.187,64127.097,16031.77425,16445.463,9787.62871327369,3990.492,3990.492,6474.5785,25588.97,19114.3915
E01034231,"3","3",2805.325,108740.482,105935.157,157535.391,52511.797,45989.584,43493.0555297179,2805.325,2805.325,24397.4545,77365.033,52967.5785
E01033580,"4","4",7687.041,30649.536,22962.495,80658.969,20164.74225,21161.196,10552.1666721545,7687.041,7687.041,9710.0025,30619.482,20909.4795
E01034227,"2","2",934.067,44859.82,43925.753,45793.887,22896.9435,22896.9435,21962.8765,934.067,934.067,934.067,44859.82,43925.753
E01034229,"4","4",31086.293,188168.458,157082.165,385658.021,96414.50525,83201.635,58325.2541186716,31086.293,31086.293,48691.0205,144137.99,95446.9695
E01034230,"3","3",3812.934,19670.994,15858.06,42186.455,14062.1516666667,18702.527,7258.06811608325,3812.934,3812.934,11257.7305,19186.7605,7929.03
E01003483,"5","5",10.573,112858.788,112848.215,245449.399,49089.8798,35001.035,38148.7575103967,10.573,10.573,31429.915,66149.088,34719.173
E01003484,"4","4",9600.098,42218.044,32617.946,101231.159,25307.78975,24706.5085,11548.295230385,9600.098,9600.098,17081.5975,33533.982,16452.3845
