FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,CAI,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,81.48,273.5355166,0.17,0.83,41.155,0.8231,67,8296,3,29.41,8296,3,5,16.7,0.2,45.3,29.9
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,65.82,449.9433639,0.28,0.72,33.27,0.6654,67,9706,3,26.797,9706,3,7,10.8,-0.3,44.2,52.5
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,98.65,144.0501189,0.08,0.92,49.785,0.9957,67,5784,2,35.297,5784,2,4,10.2,0.6,53,40.1
32238,E01034199,Newham 012E,,538888,184896,51.5459,0.001579,100,286.7127318,0.17,0.83,50.415,1.0083,67,8005,3,30.044,8005,3,,,,,
32239,E01034200,Newham 012F,,538881,184529,51.5426,0.001334,100,226.2669246,0.14,0.86,50.43,1.0086,67,8005,3,30.044,8005,3,,,,,
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,,771.0791882,0.48,0.52,0.26,0.0052,41.1,10266,4,25.879,10266,4,6,18.9,-0.5,52,35.1
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,30.96,516.7675505,0.32,0.68,15.82,0.3164,48.3,9354,3,27.393,9354,3,5,14,-0.2,50.6,30
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,71.22,429.1886814,0.26,0.74,35.98,0.7196,48.3,10503,4,25.412,10503,4,7,14.1,0.1,49.8,28.7
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,100,231.5552821,0.14,0.86,50.43,1.0086,48.3,7833,3,30.414,7833,3,5,19.2,-0.1,49.9,34.8
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,3.3,848.2992486,0.53,0.47,1.885,0.0377,42.3,8697,3,28.623,8697,3,5,18,-0.3,56.8,39.2
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,56.06,444.9944619,0.27,0.73,28.395,0.5679,42.3,11413,4,23.921,11413,4,6,10.1,0,50.5,35.7
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,56.43,439.0318603,0.27,0.73,28.58,0.5716,42.3,8805,3,28.43,8805,3,5,18.6,0.2,46.7,31
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,10.47,642.7320362,0.4,0.6,5.535,0.1107,42.3,13234,5,21.405,13234,5,7,11.4,-0.3,47.2,29.2
