lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003565,"5","5",2175.931,35966.749,33790.818,85020.84,17004.168,12621.335,11323.0690880722,2175.931,2175.931,12526.061,21730.764,9204.703
E01003521,"7","7",1760.298,50415.208,48654.91,118350.222,16907.1745714286,10193.565,16467.0148944512,1760.298,1760.298,4771.5665,23219.009,18447.4425
E01003568,"3","3",144.937,16455.281,16310.344,31201.695,10400.565,14601.477,7291.20824799256,144.937,144.937,7373.207,15528.379,8155.172
E01003596,"6","6",4158.986,29785.41,25626.424,88134.652,14689.1086666667,9757.2635,10022.5386019841,4158.986,4158.986,7306.717,27369.012,20062.295
E01003566,"4","4",6487.029,39024.491,32537.462,88141.926,22035.4815,21315.203,11885.7793087581,6487.029,6487.029,11849.6355,32221.3275,20371.692
E01003569,"4","4",1194.778,41611.125,40416.347,94813.684,23703.421,26003.8905,14703.0263441535,1194.778,1194.778,11768.8035,35638.0385,23869.235
E01034223,"4","4",1258.401,44494.737,43236.336,59673.509,14918.37725,6960.1855,17516.2448080909,1258.401,1258.401,1894.1835,27942.571,26048.3875
E01033586,"6","6",19.535,26146.6,26127.065,66173.969,11028.9948333333,9621.8685,10143.2144086343,19.535,19.535,26.287,20737.81,20711.523
E01003635,"5","5",2458.599,91017.117,88558.518,182314.839,36462.9678,12804.585,36743.5845206553,2458.599,2458.599,5974.704,70059.834,64085.13
E01003634,"3","3",1668.553,25561.552,23892.999,40348.237,13449.4123333333,13118.132,9757.08837368814,1668.553,1668.553,7393.3425,19339.842,11946.4995
E01003636,"4","4",18539.533,62102.754,43563.221,133307.795,33326.94875,26332.754,17318.7715962015,18539.533,18539.533,19809.186,46844.7115,27035.5255
E01003622,"7","7",106.772,59846.608,59739.836,141257.332,20179.6188571429,6235.241,24391.9000748193,106.772,106.772,3744.8795,33789.476,30044.5965
E01003597,"4","4",1318.88,24711.112,23392.232,51154.499,12788.62475,12562.2535,10879.5753775205,1318.88,1318.88,1944.851,23632.3985,21687.5475
E01003598,"4","4",1162.397,24192.874,23030.477,50378.767,12594.69175,12511.748,9672.52406817216,1162.397,1162.397,3145.834,22043.5495,18897.7155
E01033579,"5","5",294.638,46359.499,46064.861,118340.1,23668.02,25704.9,19492.4964792342,294.638,294.638,2576.051,43405.012,40828.961
E01003522,"4","4",811.76,10686.371,9874.611,21768.515,5442.12875,5135.192,3573.92087087923,811.76,811.76,2478.3965,8405.861,5927.4645
E01003525,"8","8",1944.673,51808.249,49863.576,111881.731,13985.216375,7466.7815,16371.7096387418,1944.673,1944.673,2256.075,19341.548,17085.473
E01003489,"6","6",2.777,38979.572,38976.795,74959.94,12493.3233333333,6399.699,13406.4480903226,2.777,2.777,3150.37,20027.823,16877.453
E01003491,"7","7",101.781,33020.875,32919.094,79108.91,11301.2728571429,5993.431,10799.7269068715,101.781,101.781,5164.9985,14831.413,9666.4145
E01003633,"5","5",645.005,41455.04,40810.035,85884.858,17176.9716,13006.238,13836.0438719446,645.005,645.005,9445.241,21333.334,11888.093
E01003632,"5","5",169.293,36079.932,35910.639,58517.353,11703.4706,1041.424,14448.3631944677,169.293,169.293,601.586,20625.118,20023.532
E01003630,"6","6",1563.463,49901.54,48338.077,94564.752,15760.792,7239.5,17513.2522359775,1563.463,1563.463,1635.336,26985.413,25350.077
E01003621,"4","4",441.878,20661.224,20219.346,30885.763,7721.44075,4891.3305,7695.05491149938,441.878,441.878,2441.2135,13001.668,10560.4545
E01003523,"7","7",3067.957,66373.732,63305.775,166082.586,23726.0837142857,7404.944,23828.8920169484,3067.957,3067.957,6071.7,38546.2765,32474.5765
E01003623,"5","5",3235.74,40582.798,37347.058,103781.339,20756.2678,18968.694,15320.7339002823,3235.74,3235.74,5163.521,35830.586,30667.065
E01003592,"3","3",2242.545,16755.992,14513.447,29948.551,9982.85033333333,10950.014,5964.42733345191,2242.545,2242.545,6596.2795,13853.003,7256.7235
E01003526,"6","6",8.706,28341.067,28332.361,66011.769,11001.9615,4537.889,12216.3901643578,8.706,8.706,1086.439,27499.779,26413.34
E01003637,"2","2",14840.416,33629.076,18788.66,48469.492,24234.746,24234.746,9394.33,14840.416,14840.416,14840.416,33629.076,18788.66
E01003600,"6","6",105.71,39391.235,39285.525,98599.203,16433.2005,17109.0285,13129.0568754245,105.71,105.71,2364.698,22519.503,20154.805
E01003524,"4","4",290.848,22667.991,22377.143,39664.346,9916.0865,8352.7535,9624.67617813925,290.848,290.848,607.079,19225.094,18618.015
E01003624,"5","5",3064.986,29864.642,26799.656,72297.661,14459.5322,9520.648,11010.0890978094,3064.986,3064.986,4576.38,25271.005,20694.625
E01034203,"6","6",0.146,17270.573,17270.427,42283.152,7047.192,5963.974,5487.54982988595,0.146,0.146,3158.812,9925.673,6766.861
E01034204,"4","4",1254.811,25359.182,24104.371,42347.774,10586.9435,7866.8905,9495.80763930558,1254.811,1254.811,2308.731,18865.156,16556.425
E01003490,"3","3",7.615,7953.152,7945.537,12252.145,4084.04833333333,4291.378,3247.06316000601,7.615,7.615,2149.4965,6122.265,3972.7685
E01003488,"3","3",6125.39,20962.362,14836.972,39126.717,13042.239,12038.965,6098.57106605053,6125.39,6125.39,9082.1775,16500.6635,7418.486
E01003631,"4","4",2360.248,57334.436,54974.188,99725.21,24931.3025,20015.263,22654.3357016714,2360.248,2360.248,3728.489,46134.116,42405.627
E01003595,"6","6",154.623,32179.799,32025.176,78517.796,13086.2993333333,10147.925,12218.6965570556,154.623,154.623,801.316,25086.208,24284.892
E01003605,"8","8",62.8,39795.269,39732.469,90253.352,11281.669,5933.464,12200.3793682242,62.8,62.8,2970.722,16293.4555,13322.7335
E01003492,"6","6",1669.643,40110.703,38441.06,87748.619,14624.7698333333,11240.428,13468.8356381833,1669.643,1669.643,2475.997,21011.42,18535.423
