FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Bus Stops_HubDist,Distance,NormDist,Accessibility Index
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,54,235.4274628,0.36,0.64,27.32
32250,E01034211,Newham 034M,,539675,180778,51.5087,0.011289,37,193.5320881,0.29,0.71,18.855
3322,E01003480,Newham 033A,,543539,180983,51.5095,0.067013,93,121.3285797,0.17,0.83,46.915
3323,E01003481,Newham 035B,,542903,181059,51.5104,0.057885,65,33.43052117,0.03,0.97,32.985
3328,E01003487,Newham 033D,,543528,181458,51.5138,0.067048,64,131.9126119,0.19,0.81,32.405
32245,E01034206,Newham 033F,,544481,181408,51.5131,0.080751,24,129.1099587,0.19,0.81,12.405
3441,E01003604,Newham 031D,,540918,181954,51.5189,0.029658,55,25.46000833,0.02,0.98,27.99
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,82,80.83607988,0.11,0.89,41.445
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,42,202.4027907,0.31,0.69,21.345
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,42,298.2995496,0.46,0.54,21.27
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,50,166.754754,0.25,0.75,25.375
32246,E01034207,Newham 033G,,544028,180743,51.5073,0.073956,74,129.9265855,0.19,0.81,37.405
3342,E01003502,Newham 030C,,539982,181959,51.5192,0.016179,91,72.09229784,0.09,0.91,45.955
3343,E01003503,Newham 030D,,539512,181779,51.5177,0.009338,96,37.34233557,0.03,0.97,48.485
32248,E01034209,Newham 034K,,539606,181321,51.5136,0.010511,63,58.94818412,0.07,0.93,31.965
3373,E01003536,Newham 023B,,543342,182687,51.5249,0.064868,68,127.8575025,0.18,0.82,34.41
3375,E01003538,Newham 029A,,542715,182564,51.524,0.055787,70,181.4795198,0.27,0.73,35.365
3350,E01003513,Newham 035D,,541939,181383,51.5135,0.044134,56,26.76000647,0.02,0.98,28.49
3427,E01003590,Newham 003D,,541939,185859,51.5538,0.045936,67,65.30721321,0.08,0.92,33.96
3321,E01003479,Newham 035A,,542478,181238,51.5121,0.051837,30,321.5510803,0.5,0.5,15.25
3337,E01003497,Newham 034A,,538951,181936,51.5193,0.00132,50,187.7332374,0.28,0.72,25.36
