FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,5min_Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD Score,NormIMD,Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Income Rank,Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,5min_Coverage_p
3344,E01003506,Newham 034D,,540406,181014,51.5106,0.02191,88,89.93145086,0.12,0.88,44.44,63.1,45.3,0.935732648,0.3,1,2931,0.2,2,23.2,0.9,51.4,23.6,88
3352,E01003515,Newham 036D,,541249,180905,51.5094,0.034006,44,122.2917246,0.17,0.83,22.415,48.1,47.7,0.997429306,0.3,1,5783,0.2,2,25.3,0.8,49.9,24,44
3354,E01003517,Newham 036E,,540702,181629,51.5161,0.026417,71,40.73558642,0.04,0.96,35.98,48.1,46.7,0.971722365,0.3,1,9696,0.2,2,20.3,1.2,47.3,26.2,71
31673,E01033584,Newham 034I,,540063,181147,51.5119,0.017023,73,40.57802655,0.04,0.96,36.98,63.1,41.6,0.840616967,0.3,1,7569,0.1,3,22.8,0.6,52.1,22.8,73
3341,E01003501,Newham 030B,,539873,182282,51.5221,0.014737,48,256.1143485,0.39,0.61,24.305,58.7,36.3,0.70437018,0.2,2,6628,0.1,3,24,0.1,50.1,24.1,48
3345,E01003507,Newham 031A,,540551,182118,51.5205,0.024438,86,86.19015036,0.11,0.89,43.445,53.3,34,0.645244216,0.2,3,6791,0.1,4,21.7,0.4,47.5,50.2,86
3346,E01003508,Newham 031B,,540242,181711,51.5169,0.019825,45,243.4071447,0.37,0.63,22.815,53.3,36.9,0.719794344,0.2,3,4038,0.1,4,24.9,0.4,49.2,38.2,45
3347,E01003509,Newham 031C,,540404,181943,51.519,0.022251,62,115.6030766,0.16,0.84,31.42,53.3,35.4,0.681233933,0.2,3,13950,0.1,3,22,0.3,43.2,50.9,62
3348,E01003511,Newham 036A,,540263,181466,51.5147,0.02003,4.3,346.7413771,0.54,0.46,2.38,48.1,35.3,0.678663239,0.2,3,9400,0.1,4,26.7,0.6,49.8,21.4,4.3
3349,E01003512,Newham 036B,,541060,181376,51.5137,0.031472,65,85.13922018,0.11,0.89,32.945,48.1,35.3,0.678663239,0.2,3,10740,0.1,3,24.9,0.3,48.5,26.3,65
3351,E01003514,Newham 036C,,541514,181242,51.5124,0.037957,7,319.5701011,0.5,0.5,3.75,48.1,36.7,0.714652956,0.2,3,16257,0.2,2,24.1,0.6,55.1,21.4,7
3353,E01003516,Newham 032C,,541339,181704,51.5166,0.035622,89,50.3671816,0.06,0.94,44.97,39.6,39.9,0.796915167,0.3,2,7793,0.2,2,27.1,0.5,51.7,28.6,89
3355,E01003518,Newham 032D,,541604,181531,51.515,0.039369,59,98.50879463,0.13,0.87,29.935,39.6,22.6,0.35218509,0.1,5,10805,0.1,6,14.2,-0.3,55.6,21.3,59
3356,E01003519,Newham 032E,,541249,181495,51.5147,0.034242,48,191.4743529,0.29,0.71,24.355,39.6,29.4,0.526992288,0.2,3,10617,0.1,5,24.3,0.1,52.4,24.4,48
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,12,365.1892649,0.57,0.43,6.215,52,31,0.568123393,0.2,2,8969,0.1,5,23.3,-0.1,49.8,30.6,12
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,56,104.7300347,0.15,0.85,28.425,51,26.7,0.457583548,0.1,4,7801,0.1,6,15.1,-0.6,50,27.2,56
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,86,74.82980804,0.1,0.9,43.45,51,28.5,0.503856041,0.1,5,6064,0.1,8,13.2,-0.5,51,61.3,86
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,27,207.1732284,0.31,0.69,13.845,51,31.4,0.57840617,0.2,3,5983,0.1,5,17.5,0,55.5,41.7,27
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,45,164.2365294,0.24,0.76,22.88,52,28.6,0.506426735,0.1,4,10573,0.1,5,22.6,-0.7,49.4,49.4,45
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,86,22.47159208,0.01,0.99,43.495,51,30.7,0.560411311,0.1,4,11285,0.1,7,17.1,-0.8,50.5,51.3,86
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,61,169.8706087,0.25,0.75,30.875,51,30.1,0.544987147,0.2,3,10320,0.1,5,17.3,0.1,51.5,36.3,61
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,80,72.20739162,0.09,0.91,40.455,41.9,31.5,0.580976864,0.2,3,10825,0.1,4,17.8,0.1,50.5,31.8,80
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,79,122.7280733,0.17,0.83,39.915,41.9,32.8,0.614395887,0.2,2,11454,0.1,3,21.6,0.2,47.1,30,79
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,31,232.7511477,0.36,0.64,15.82,44.9,30.4,0.552699229,0.2,2,14855,0.1,4,20,-0.3,55.1,21.1,31
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,83,117.298754,0.17,0.83,41.915,43.6,23.4,0.372750643,0.1,4,7802,0.1,6,14.8,-0.7,50.4,31.2,83
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,48,180.2725442,0.27,0.73,24.365,43.6,21.9,0.334190231,0.1,4,7119,0.1,6,13.9,-0.6,48.7,23.7,48
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,95,86.42842079,0.12,0.88,47.94,43.6,25.3,0.42159383,0.2,4,6952,0.1,6,11.3,-0.6,46.1,42.1,95
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,58,209.8462163,0.32,0.68,29.34,43.6,25.2,0.419023136,0.1,4,10513,0.1,6,19.5,-0.6,49.5,35.7,58
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,0,625.8927257,1,0,0,42.3,28.6,0.506426735,0.1,4,9991,0.1,5,18,-0.3,56.8,39.2,0
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,1.5,266.9340759,0.41,0.59,1.045,42.3,23.9,0.385604113,0.1,5,7185,0.1,6,10.1,0,50.5,35.7,1.5
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,70,92.54768373,0.13,0.87,35.435,43.6,29.2,0.5218509,0.2,3,7842,0.1,5,14.2,-0.3,49.4,33,70
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,0,446.9799303,0.71,0.29,0.145,42.3,28.4,0.501285347,0.2,3,9187,0.1,5,18.6,0.2,46.7,31,0
3412,E01003575,Newham 005B,,542792,185153,51.5472,0.057945,41,145.7952017,0.21,0.79,20.895,44.9,29.8,0.537275064,0.2,3,8576,0.1,4,26.7,-0.4,47.1,25.6,41
3416,E01003579,Newham 004A,,542654,185397,51.5494,0.056055,47,205.2240013,0.31,0.69,23.845,49.5,28.5,0.503856041,0.2,4,8444,0.1,5,29.4,-0.1,46.9,37.3,47
3422,E01003585,Newham 004B,,542396,185452,51.55,0.052359,18,277.8548572,0.43,0.57,9.285,49.5,28,0.491002571,0.2,4,4955,0.1,6,25,0,51.3,29,18
3424,E01003587,Newham 004C,,542073,185263,51.5484,0.047627,64,171.0548803,0.25,0.75,32.375,49.5,28,0.491002571,0.2,3,15162,0.1,5,15.9,-0.3,50,23.6,64
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,17,317.7081673,0.49,0.51,8.755,40.9,29.2,0.5218509,0.2,3,6454,0.1,5,19,0,51.5,30.5,17
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,25,276.9477176,0.43,0.57,12.785,40.9,26.8,0.460154242,0.2,3,5724,0.1,6,19.7,-0.1,50.4,28.1,25
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,65,141.4399579,0.21,0.79,32.895,58.9,35,0.670951157,0.2,3,10923,0.1,4,10.9,0.9,52.5,33.7,65
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,19,277.8549564,0.43,0.57,9.785,47.7,29.8,0.537275064,0.2,3,15700,0.1,4,16.3,-0.1,47.9,37.5,19
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,74,120.3320959,0.17,0.83,37.415,58.9,35.8,0.69151671,0.2,2,13549,0.1,3,12.4,0.5,46.7,34.5,74
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,21,220.956902,0.34,0.66,10.83,58.9,21.9,0.334190231,0.1,5,12721,0.1,7,10.7,-0.1,45,30.9,21
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,75,160.2374688,0.24,0.76,37.88,53.7,36.8,0.71722365,0.2,2,5941,0.1,3,11.4,0.3,51.2,39.5,75
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,85,111.2820766,0.16,0.84,42.92,51.2,38.3,0.755784062,0.2,2,8277,0.1,4,24,0.2,50.4,36.2,85
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,66,138.0624538,0.2,0.8,33.4,53.7,25.6,0.429305913,0.1,4,11323,0.1,5,14.2,-0.1,48.3,25.8,66
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,90,77.90378583,0.1,0.9,45.45,58.9,20.7,0.303341902,0.1,5,11076,0.1,7,8.6,-0.1,46.9,29.7,90
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,71,62.5454918,0.08,0.92,35.96,67,26.8,0.460154242,0.1,5,9162,0.1,7,10.8,-0.3,44.2,52.5,71
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,45,199.37955,0.3,0.7,22.85,47.7,24.6,0.403598972,0.1,4,8542,0.1,5,10.9,-0.5,43.5,28.1,45
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,67,61.89273093,0.07,0.93,33.965,53,32.3,0.601542416,0.2,2,9813,0.1,4,17,0.2,46.3,22.8,67
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,40,177.0290134,0.26,0.74,20.37,40.9,28,0.491002571,0.2,3,9503,0.1,4,21,-0.4,49.7,30,40
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,92,61.27709682,0.07,0.93,46.465,41.1,23.7,0.380462725,0.1,4,9768,0.1,6,17.6,-0.5,49.2,28.1,92
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,97,105.1969894,0.15,0.85,48.925,41.1,25.9,0.437017995,0.1,4,12531,0.1,6,18.9,-0.5,52,35.1,97
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,40,200.7040778,0.3,0.7,20.35,40.9,27.1,0.467866324,0.2,3,3809,0.1,5,25.6,-0.5,50,31.9,40
3423,E01003586,Newham 003C,,541649,185146,51.5474,0.041469,62,106.6171434,0.15,0.85,31.425,45.7,30,0.542416452,0.2,3,6105,0.1,5,20,0.1,48.3,36.4,62
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,81,104.8551873,0.15,0.85,40.925,40.9,27.6,0.480719794,0.2,3,9322,0.1,5,16.6,-0.2,47.5,38.2,81
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,67,181.3291908,0.27,0.73,33.865,48.3,27.4,0.475578406,0.2,3,8288,0.1,5,14,-0.2,50.6,30,67
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,94,88.42974531,0.12,0.88,47.44,48.3,25.4,0.424164524,0.2,3,7772,0.1,7,14.1,0.1,49.8,28.7,94
3392,E01003555,Newham 007B,,541054,185293,51.5489,0.032953,36,220.0459666,0.33,0.67,18.335,41.1,25.8,0.434447301,0.1,4,6664,0.1,6,12.1,-0.1,44.7,36.7,36
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,74,117.134765,0.17,0.83,37.415,51.2,42.3,0.858611825,0.3,2,10897,0.1,3,21.6,0.2,49.6,41.7,74
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,92,153.1899438,0.22,0.78,46.39,41.1,32.1,0.596401028,0.2,2,8831,0.1,4,22.4,0,49.6,32.1,92
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,81,183.3874223,0.27,0.73,40.865,51.2,31.3,0.575835476,0.2,3,10781,0.1,5,22.6,0.1,50.7,35.5,81
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,69,201.3621329,0.3,0.7,34.85,51.2,28,0.491002571,0.2,3,7849,0.1,5,16.8,0,51.6,24.9,69
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,72,190.9000663,0.29,0.71,36.355,47.2,29.3,0.524421594,0.2,3,5062,0.1,5,17.5,-0.1,50.3,35.7,72
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,20,274.8822562,0.42,0.58,10.29,52.7,34.4,0.655526992,0.2,3,12550,0.1,4,15.4,0.6,47.4,37.3,20
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,78,31.25721445,0.02,0.98,39.49,47.7,25.2,0.419023136,0.1,4,10807,0.1,6,18,0.1,48,28,78
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,57,168.2828411,0.25,0.75,28.875,47.7,25.7,0.431876607,0.2,3,6823,0.1,6,18.3,-0.3,48.6,27.7,57
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,51,140.8247205,0.2,0.8,25.9,47.2,27.1,0.467866324,0.1,4,8742,0.1,5,20.1,0.2,50,30.1,51
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,88,54.00450391,0.06,0.94,44.47,51.2,27.8,0.485861183,0.2,3,3961,0.1,4,20,-0.1,47.3,24.5,88
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,94,39.76040686,0.04,0.96,47.48,47.3,38.1,0.750642674,0.2,2,6907,0.1,3,25.3,0.3,49.8,29.2,94
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,14,444.4110695,0.7,0.3,7.15,45.7,26.2,0.444730077,0.1,4,6082,0.1,7,24.1,-0.2,49.5,38.4,14
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,75,78.47842547,0.1,0.9,37.95,47.3,26.8,0.460154242,0.1,4,7294,0.1,6,24.7,-0.4,49.8,33.6,75
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,50,175.546708,0.26,0.74,25.37,47.3,30.9,0.565552699,0.2,3,7798,0.1,4,26.7,-0.2,47.8,30.3,50
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,79,69.5323709,0.09,0.91,39.955,47.3,28.5,0.503856041,0.2,3,6404,0.1,5,21.1,0,47.8,37.1,79
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,22,277.7038104,0.43,0.57,11.285,44.9,40.9,0.822622108,0.3,2,6192,0.2,2,23.4,0.6,53.5,28.9,22
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,3.1,388.4818071,0.61,0.39,1.745,44.9,32.8,0.614395887,0.2,3,4787,0.1,4,25.7,-0.2,50.3,37.2,3.1
3428,E01003591,Newham 004D,,542150,185588,51.5513,0.048868,87,16.28833639,0,1,44,49.5,34.1,0.64781491,0.2,2,14933,0.1,4,23.4,-0.1,51.7,38.2,87
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,79,214.5564381,0.33,0.67,39.835,51.4,29.2,0.5218509,0.2,3,6435,0.1,4,14.9,0,49.3,26.6,79
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,84,116.4982109,0.16,0.84,42.42,51.4,29.8,0.537275064,0.2,3,10752,0.1,4,18.5,0.3,48.4,32.8,84
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,89,74.04925536,0.09,0.91,44.955,52.7,34.3,0.652956298,0.2,2,7708,0.1,3,23,0.2,49,27.5,89
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,90,54.42157677,0.06,0.94,45.47,52.7,29.8,0.537275064,0.2,2,,0.1,4,17,-0.1,45.9,25.9,90
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,70,142.2010099,0.21,0.79,35.395,52.7,31.2,0.573264781,0.2,2,11884,0.1,3,18.3,0,48.8,22.1,70
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,51,186.8522732,0.28,0.72,25.86,52.7,22,0.336760925,0.1,5,16380,0.1,7,9.1,-0.1,46.5,31.3,51
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,65,95.29722624,0.13,0.87,32.935,47.1,37.2,0.727506427,0.2,2,10721,0.1,3,24.8,0.4,46.3,35.9,65
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,92,103.1106057,0.14,0.86,46.43,51.4,26.1,0.442159383,0.1,4,8216,0.1,5,16.4,0.1,46.8,29.1,92
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,97,41.44954196,0.04,0.96,48.98,51.4,30.5,0.555269923,0.2,3,8078,0.1,4,13.3,0,50.2,31.7,97
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,77,161.7967738,0.24,0.76,38.88,47.1,22.8,0.357326478,0.1,4,9361,0.1,7,15.6,-0.3,45.9,34.8,77
3444,E01003608,Newham 028D,,541192,182719,51.5257,0.033911,19,272.6786467,0.42,0.58,9.79,47.1,23.9,0.385604113,0.1,5,4050,0.1,8,11.2,-0.3,46.2,45.6,19
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,46,204.6305873,0.31,0.69,23.345,42.4,23.1,0.36503856,0.1,4,7763,0.1,7,22,-0.2,46.9,25.7,46
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,58,77.51475996,0.1,0.9,29.45,42.4,33.7,0.637532134,0.2,3,7028,0.1,4,23.3,0,50.6,32.4,58
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,38,263.4450369,0.41,0.59,19.295,42.4,31.4,0.57840617,0.2,3,6605,0.1,4,25.3,0.1,48.6,26.3,38
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,0,400.7627454,0.63,0.37,0.185,42.3,21.4,0.321336761,0.1,5,25166,0.1,7,11.4,-0.3,47.2,29.2,0
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,0,272.3840772,0.42,0.58,0.29,42.3,27,0.46529563,0.2,3,30743,0.1,6,17.2,-0.4,49.6,46.3,0
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,89,20.80592461,0.01,0.99,44.995,53,39.5,0.786632391,0.2,2,4675,0.2,2,22.7,0.4,50.7,20.4,89
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,27,211.3266674,0.32,0.68,13.84,53,31.1,0.570694087,0.2,3,10428,0.1,3,21.6,0.3,51.6,21,27
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,54,228.2537514,0.35,0.65,27.325,67,35.3,0.678663239,0.2,3,12691,0.1,4,10.2,0.6,53,40.1,54
31674,E01033586,Newham 040D,,538630,183273,51.5313,-0.00278,8.8,490.2765133,0.78,0.22,4.51,70.8,34.5,0.658097686,0.2,3,2412,0.1,4,11.6,0.1,57.3,54,8.8
31669,E01033579,Newham 040C,,537880,183346,51.5322,-0.01355,26,250.4748291,0.38,0.62,13.31,70.8,21.1,0.313624679,0.1,8,28743,0,10,7.2,-0.1,55.9,48.1,26
31670,E01033580,Newham 042A,,540729,180295,51.5041,0.026274,17,186.2453772,0.28,0.72,8.86,60.1,8.9,0,0,10,10612,0,10,5,-0.4,37,14.8,17
3324,E01003483,Newham 032A,,542083,181918,51.5183,0.046423,19,240.0962393,0.37,0.63,9.815,39.6,37.2,0.727506427,0.2,2,5213,0.1,3,24.6,0.2,57.8,16.3,19
3325,E01003484,Newham 032B,,542576,181891,51.5179,0.053513,36,171.4789152,0.25,0.75,18.375,39.6,22.7,0.354755784,0.2,4,8193,0.1,6,12.5,-0.2,48.7,20.4,36
3326,E01003485,Newham 035C,,542352,181536,51.5148,0.050143,43,203.8573455,0.31,0.69,21.845,39.9,24.1,0.390745501,0.1,4,7385,0.1,6,14.8,-0.1,49.3,19,43
3327,E01003486,Newham 033C,,543008,181564,51.5149,0.059602,83,65.74022452,0.08,0.92,41.96,45.9,47.8,1,0.3,1,14743,0.2,1,27.8,0.6,48.6,21.5,83
3377,E01003540,Newham 029C,,542904,182348,51.522,0.058422,68,66.60131823,0.08,0.92,34.46,40.6,38.7,0.766066838,0.2,2,5199,0.1,3,25.1,0.4,54.1,41.8,68
3378,E01003541,Newham 029D,,542406,182246,51.5212,0.051207,57,171.0251646,0.25,0.75,28.875,40.6,27.2,0.470437018,0.2,4,9917,0.1,6,18.8,-0.4,54.7,29.1,57
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,38,218.400132,0.33,0.67,19.335,47.7,23.2,0.367609254,0.1,4,,0.1,5,9.8,-0.1,47.1,26.8,38
3384,E01003547,Newham 007A,,541032,185709,51.5527,0.032803,0,536.8490252,0.85,0.15,0.075,41.1,18.9,0.257069409,0.1,5,,0.1,5,9.2,-0.5,41.2,27.1,0
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,12,398.1474231,0.63,0.37,6.185,45.7,29.5,0.529562982,0.2,3,,0.1,4,12.5,-0.1,46,29.2,12
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,22,291.3132106,0.45,0.55,11.275,47.7,28.7,0.508997429,0.1,4,,0.1,6,21,0.1,47.8,39.7,22
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,58,184.2609765,0.28,0.72,29.36,47.7,33.5,0.632390746,0.2,2,,0.1,4,17.7,0.3,49.8,25.2,58
3339,E01003499,Newham 030A,,540410,182453,51.5235,0.02254,75,102.1969448,0.14,0.86,37.93,58.7,40.6,0.814910026,0.2,2,,0.1,3,22.4,0.5,50.2,34.7,75
3445,E01003611,Newham 041C,,543253,179952,51.5004,0.062476,96,36.70159397,0.03,0.97,48.485,48.8,31.4,0.57840617,0.2,2,,0.1,3,18.5,0.2,45.5,15.6,96
31671,E01033581,Newham 041A,,543164,180295,51.5035,0.061334,32,259.9179849,0.4,0.6,16.3,48.8,34.9,0.668380463,0.2,3,,0.1,4,14.2,0.5,56.1,22.4,32
31672,E01033582,Newham 041B,,543829,179993,51.5006,0.070785,16,201.9759416,0.3,0.7,8.35,48.8,14.6,0.146529563,0,9,,0,10,6.8,-0.6,51.8,23.9,16
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,26,344.7586879,0.54,0.46,13.23,53.7,22.3,0.344473008,0.1,5,,0.1,7,15.9,-0.5,48.4,29.2,26
3446,E01003615,Newham 039A,,538925,185401,51.5504,0.002312,40,151.8443737,0.22,0.78,20.39,66.2,27.3,0.473007712,0.2,3,,0.1,5,12.3,0.2,47.2,33.4,40
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,54,235.4274628,0.36,0.64,27.32,67,29.4,0.526992288,0.2,3,,0.1,5,16.7,0.2,45.3,29.9,54
3322,E01003480,Newham 033A,,543539,180983,51.5095,0.067013,93,121.3285797,0.17,0.83,46.915,39.9,24,0.388174807,0.1,4,,0.1,6,22.1,-0.3,53,19.1,93
3323,E01003481,Newham 035B,,542903,181059,51.5104,0.057885,65,33.43052117,0.03,0.97,32.985,39.9,28.6,0.506426735,0.2,4,,0.1,4,19.4,0.3,64.2,15.5,65
