FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Income Rank,Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3392,E01003555,Newham 007B,,541054,185293,51.5489,0.032953,96.99,220.0459666,0.33,0.67,48.83,41.1,25.8,0.1,4,6664,0.1,6,12.1,-0.1,44.7,36.7
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,100,117.134765,0.17,0.83,50.415,51.2,42.3,0.3,2,10897,0.1,3,21.6,0.2,49.6,41.7
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,100,153.1899438,0.22,0.78,50.39,41.1,32.1,0.2,2,8831,0.1,4,22.4,0,49.6,32.1
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,100,183.3874223,0.27,0.73,50.365,51.2,31.3,0.2,3,10781,0.1,5,22.6,0.1,50.7,35.5
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,100,201.3621329,0.3,0.7,50.35,51.2,28,0.2,3,7849,0.1,5,16.8,0,51.6,24.9
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,100,190.9000663,0.29,0.71,50.355,47.2,29.3,0.2,3,5062,0.1,5,17.5,-0.1,50.3,35.7
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,91.158,274.8822562,0.42,0.58,45.869,52.7,34.4,0.2,3,12550,0.1,4,15.4,0.6,47.4,37.3
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,100,31.25721445,0.02,0.98,50.49,47.7,25.2,0.1,4,10807,0.1,6,18,0.1,48,28
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,100,168.2828411,0.25,0.75,50.375,47.7,25.7,0.2,3,6823,0.1,6,18.3,-0.3,48.6,27.7
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,100,140.8247205,0.2,0.8,50.4,47.2,27.1,0.1,4,8742,0.1,5,20.1,0.2,50,30.1
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,100,54.00450391,0.06,0.94,50.47,51.2,27.8,0.2,3,3961,0.1,4,20,-0.1,47.3,24.5
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,100,39.76040686,0.04,0.96,50.48,47.3,38.1,0.2,2,6907,0.1,3,25.3,0.3,49.8,29.2
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,50.334,444.4110695,0.7,0.3,25.317,45.7,26.2,0.1,4,6082,0.1,7,24.1,-0.2,49.5,38.4
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,100,78.47842547,0.1,0.9,50.45,47.3,26.8,0.1,4,7294,0.1,6,24.7,-0.4,49.8,33.6
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,100,175.546708,0.26,0.74,50.37,47.3,30.9,0.2,3,7798,0.1,4,26.7,-0.2,47.8,30.3
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,100,69.5323709,0.09,0.91,50.455,47.3,28.5,0.2,3,6404,0.1,5,21.1,0,47.8,37.1
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,79.793,277.7038104,0.43,0.57,40.1815,44.9,40.9,0.3,2,6192,0.2,2,23.4,0.6,53.5,28.9
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,38.878,388.4818071,0.61,0.39,19.634,44.9,32.8,0.2,3,4787,0.1,4,25.7,-0.2,50.3,37.2
3428,E01003591,Newham 004D,,542150,185588,51.5513,0.048868,100,16.28833639,0,1,50.5,49.5,34.1,0.2,2,14933,0.1,4,23.4,-0.1,51.7,38.2
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,100,214.5564381,0.33,0.67,50.335,51.4,29.2,0.2,3,6435,0.1,4,14.9,0,49.3,26.6
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,100,116.4982109,0.16,0.84,50.42,51.4,29.8,0.2,3,10752,0.1,4,18.5,0.3,48.4,32.8
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,100,74.04925536,0.09,0.91,50.455,52.7,34.3,0.2,2,7708,0.1,3,23,0.2,49,27.5
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,100,54.42157677,0.06,0.94,50.47,52.7,29.8,0.2,2,,0.1,4,17,-0.1,45.9,25.9
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,100,142.2010099,0.21,0.79,50.395,52.7,31.2,0.2,2,11884,0.1,3,18.3,0,48.8,22.1
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,100,186.8522732,0.28,0.72,50.36,52.7,22,0.1,5,16380,0.1,7,9.1,-0.1,46.5,31.3
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,100,95.29722624,0.13,0.87,50.435,47.1,37.2,0.2,2,10721,0.1,3,24.8,0.4,46.3,35.9
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,100,103.1106057,0.14,0.86,50.43,51.4,26.1,0.1,4,8216,0.1,5,16.4,0.1,46.8,29.1
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,100,41.44954196,0.04,0.96,50.48,51.4,30.5,0.2,3,8078,0.1,4,13.3,0,50.2,31.7
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,100,161.7967738,0.24,0.76,50.38,47.1,22.8,0.1,4,9361,0.1,7,15.6,-0.3,45.9,34.8
3444,E01003608,Newham 028D,,541192,182719,51.5257,0.033911,100,272.6786467,0.42,0.58,50.29,47.1,23.9,0.1,5,4050,0.1,8,11.2,-0.3,46.2,45.6
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,100,204.6305873,0.31,0.69,50.345,42.4,23.1,0.1,4,7763,0.1,7,22,-0.2,46.9,25.7
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,99.637,77.51475996,0.1,0.9,50.2685,42.4,33.7,0.2,3,7028,0.1,4,23.3,0,50.6,32.4
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,79.313,263.4450369,0.41,0.59,39.9515,42.4,31.4,0.2,3,6605,0.1,4,25.3,0.1,48.6,26.3
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,60.447,400.7627454,0.63,0.37,30.4085,42.3,21.4,0.1,5,25166,0.1,7,11.4,-0.3,47.2,29.2
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,100,272.3840772,0.42,0.58,50.29,42.3,27,0.2,3,30743,0.1,6,17.2,-0.4,49.6,46.3
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,100,20.80592461,0.01,0.99,50.495,53,39.5,0.2,2,4675,0.2,2,22.7,0.4,50.7,20.4
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,99.296,211.3266674,0.32,0.68,49.988,53,31.1,0.2,3,10428,0.1,3,21.6,0.3,51.6,21
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,99.006,228.2537514,0.35,0.65,49.828,67,35.3,0.2,3,12691,0.1,4,10.2,0.6,53,40.1
31674,E01033586,Newham 040D,,538630,183273,51.5313,-0.00278,56.343,490.2765133,0.78,0.22,28.2815,70.8,34.5,0.2,3,2412,0.1,4,11.6,0.1,57.3,54
31669,E01033579,Newham 040C,,537880,183346,51.5322,-0.01355,85.276,250.4748291,0.38,0.62,42.948,70.8,21.1,0.1,8,28743,0,10,7.2,-0.1,55.9,48.1
31670,E01033580,Newham 042A,,540729,180295,51.5041,0.026274,96.013,186.2453772,0.28,0.72,48.3665,60.1,8.9,0,10,10612,0,10,5,-0.4,37,14.8
3324,E01003483,Newham 032A,,542083,181918,51.5183,0.046423,100,240.0962393,0.37,0.63,50.315,39.6,37.2,0.2,2,5213,0.1,3,24.6,0.2,57.8,16.3
3325,E01003484,Newham 032B,,542576,181891,51.5179,0.053513,100,171.4789152,0.25,0.75,50.375,39.6,22.7,0.2,4,8193,0.1,6,12.5,-0.2,48.7,20.4
3326,E01003485,Newham 035C,,542352,181536,51.5148,0.050143,99.758,203.8573455,0.31,0.69,50.224,39.9,24.1,0.1,4,7385,0.1,6,14.8,-0.1,49.3,19
3327,E01003486,Newham 033C,,543008,181564,51.5149,0.059602,100,65.74022452,0.08,0.92,50.46,45.9,47.8,0.3,1,14743,0.2,1,27.8,0.6,48.6,21.5
3377,E01003540,Newham 029C,,542904,182348,51.522,0.058422,100,66.60131823,0.08,0.92,50.46,40.6,38.7,0.2,2,5199,0.1,3,25.1,0.4,54.1,41.8
3378,E01003541,Newham 029D,,542406,182246,51.5212,0.051207,100,171.0251646,0.25,0.75,50.375,40.6,27.2,0.2,4,9917,0.1,6,18.8,-0.4,54.7,29.1
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,88.289,218.400132,0.33,0.67,44.4795,47.7,23.2,0.1,4,,0.1,5,9.8,-0.1,47.1,26.8
3384,E01003547,Newham 007A,,541032,185709,51.5527,0.032803,15.704,536.8490252,0.85,0.15,7.927,41.1,18.9,0.1,5,,0.1,5,9.2,-0.5,41.2,27.1
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,63.217,398.1474231,0.63,0.37,31.7935,45.7,29.5,0.2,3,,0.1,4,12.5,-0.1,46,29.2
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,75.331,291.3132106,0.45,0.55,37.9405,47.7,28.7,0.1,4,,0.1,6,21,0.1,47.8,39.7
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,100,184.2609765,0.28,0.72,50.36,47.7,33.5,0.2,2,,0.1,4,17.7,0.3,49.8,25.2
3339,E01003499,Newham 030A,,540410,182453,51.5235,0.02254,100,102.1969448,0.14,0.86,50.43,58.7,40.6,0.2,2,,0.1,3,22.4,0.5,50.2,34.7
3445,E01003611,Newham 041C,,543253,179952,51.5004,0.062476,100,36.70159397,0.03,0.97,50.485,48.8,31.4,0.2,2,,0.1,3,18.5,0.2,45.5,15.6
31671,E01033581,Newham 041A,,543164,180295,51.5035,0.061334,96.434,259.9179849,0.4,0.6,48.517,48.8,34.9,0.2,3,,0.1,4,14.2,0.5,56.1,22.4
31672,E01033582,Newham 041B,,543829,179993,51.5006,0.070785,62.868,201.9759416,0.3,0.7,31.784,48.8,14.6,0,9,,0,10,6.8,-0.6,51.8,23.9
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,56.02,344.7586879,0.54,0.46,28.24,53.7,22.3,0.1,5,,0.1,7,15.9,-0.5,48.4,29.2
3446,E01003615,Newham 039A,,538925,185401,51.5504,0.002312,100,151.8443737,0.22,0.78,50.39,66.2,27.3,0.2,3,,0.1,5,12.3,0.2,47.2,33.4
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,100,235.4274628,0.36,0.64,50.32,67,29.4,0.2,3,,0.1,5,16.7,0.2,45.3,29.9
3322,E01003480,Newham 033A,,543539,180983,51.5095,0.067013,100,121.3285797,0.17,0.83,50.415,39.9,24,0.1,4,,0.1,6,22.1,-0.3,53,19.1
3323,E01003481,Newham 035B,,542903,181059,51.5104,0.057885,100,33.43052117,0.03,0.97,50.485,39.9,28.6,0.2,4,,0.1,4,19.4,0.3,64.2,15.5
3328,E01003487,Newham 033D,,543528,181458,51.5138,0.067048,100,131.9126119,0.19,0.81,50.405,45.9,43.6,0.3,1,,0.2,1,29,0.7,48.2,17
3441,E01003604,Newham 031D,,540918,181954,51.5189,0.029658,100,25.46000833,0.02,0.98,50.49,53.3,35.7,0.2,3,,0.1,4,21.2,0.3,49.7,41.5
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,100,80.83607988,0.11,0.89,50.445,47.7,27,0.2,3,,0.1,5,15.4,-0.3,50.8,35
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,82.989,202.4027907,0.31,0.69,41.8395,53.7,27.2,0.1,4,,0.1,5,14.4,0.1,49.3,24
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,90.934,298.2995496,0.46,0.54,45.737,42.4,42.6,0.3,2,,0.2,2,32.2,0.5,53.1,30
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,100,166.754754,0.25,0.75,50.375,41.9,31.6,0.2,3,,0.1,3,23.4,0.1,47.3,26.6
3342,E01003502,Newham 030C,,539982,181959,51.5192,0.016179,100,72.09229784,0.09,0.91,50.455,58.7,36.5,0.2,2,,0.1,4,21.3,0,49.5,36.8
3343,E01003503,Newham 030D,,539512,181779,51.5177,0.009338,100,37.34233557,0.03,0.97,50.485,58.7,39.4,0.2,2,,0.2,2,20.6,0.4,43.2,32.9
